,Company Name,Market_Cap,weights
0,HUL      ,556382.64,0.5551346141172723
1,Dabur India      ,104515.39,0.10428095078050283
2,Godrej Consumer      ,99682.19,0.09945859216602197
3,Marico      ,68785.84,0.06863154598988284
4,Colgate      ,48739.83,0.048630501338416045
5,P and G      ,41764.47,0.041670787818366146
6,Emami      ,24590.5,0.024535340873415433
7,Gillette India      ,19907.29,0.019862635815291855
8,Sheela Foam      ,11690.31,0.011664087381952265
9,Orient Electric      ,7447.71,0.007431003988383516
10,Jyothy Labs      ,6415.14,0.0064007501535423145
11,VIP Industries      ,5872.44,0.005859267487797308
12,Bajaj Consumer     ,4284.57,0.0042749592503613
13,Safari Ind      ,1699.81,0.00169599714402067
14,JHS Svendgaard      ,169.7,0.00016931934471517857
15,Lykis      ,83.41,8.322290243189773e-05
16,Radix Ind      ,63.56,6.341742810899677e-05
17,Lehar Footwears      ,51.98,5.1863403289893825e-05
18,Pee Cee Cosma      ,42.34,4.224502684290314e-05
19,Ador Multi      ,40.12,4.003000654079531e-05
20,Paramount Cosme      ,12.11,1.2082835972308854e-05
21,Sarup Ind      ,6.8,6.78474687132124e-06
