,Company Name,Market_Cap,weights
0,HG Infra Engg      ,3143.53,0.2856331572998179
1,Nirlon      ,2622.43,0.2382840185071437
2,Power Mech      ,1169.51,0.10626615104475226
3,Indian Hume      ,1093.69,0.09937685589360938
4,Likhitha      ,806.06,0.07324169413782952
5,MEP Infra      ,441.19,0.04008821060053719
6,OM Infra      ,324.54,0.02948894550714735
7,Bharat Road Net      ,295.92,0.02688842285843053
8,ILandFS Trans      ,229.61,0.020863242675467134
9,Mcnally Bh Engg      ,229.13,0.020819628039849238
10,Generic Eng      ,208.59,0.01895328509070027
11,Jyoti Structure      ,110.18,0.010011376150790334
12,A2Z Infra Eng      ,98.63,0.008961898981234803
13,K.P. Energy     ,96.64,0.008781079971068959
14,Kings Infra      ,80.06,0.0072745577657676
15,Expo Gas Cont      ,11.59,0.0010531117225236883
16,Neueon Towers      ,11.14,0.0010122230016319145
17,Anubhav Infra      ,10.71,0.0009731515572242194
18,Genus Prime Inf      ,9.7,0.0008813790947782377
19,Raunaq EPC Int      ,8.69,0.0007896066323322563
20,IND Renewable      ,3.94,0.00035800346736353163
