,Company Name,Market_Cap,weights
0,TCS      ,1193313.97,0.40274504610239426
1,Infosys      ,676875.2,0.22844627690863897
2,Wipro      ,327247.6,0.11044649862675944
3,HCL Tech      ,268557.87,0.09063863698361865
4,Tech Mahindra      ,109340.75,0.03690264800940893
5,L&T Infotech      ,76267.22,0.025740287809587484
6,MphasiS      ,46941.2,0.015842717200488073
7,Mindtree      ,45090.46,0.015218089998123598
8,Oracle Fin Serv      ,34790.86,0.01174196135040801
9,COFORGE LTD.      ,28472.6,0.00960954022825613
10,Persistent      ,23107.86,0.007798933369587278
11,Happiest Minds     ,20854.62,0.0070384618838811655
12,Route      ,12454.59,0.004203440628233338
13,Affle India      ,11598.17,0.003914397743414842
14,Intellect Desig      ,11393.82,0.0038454293476362987
15,Birlasoft      ,11272.66,0.003804537687090528
16,Cyient      ,11030.19,0.003722703740800226
17,Zensar Tech      ,8512.23,0.0028728889043209502
18,Sonata      ,8228.19,0.002777025027947389
19,KPIT Tech      ,7872.04,0.002656823931022857
20,Mastek      ,6829.62,0.002305005799740896
21,R Systems Intl      ,2276.68,0.0007683825167658088
22,Sasken Tech      ,1927.34,0.0006504798038650202
23,RPSG VENTURES      ,1926.05,0.0006500444271556767
24,Quick Heal Tech      ,1889.65,0.0006377593789230418
25,Datamatics Glob      ,1769.95,0.0005973604703118767
26,3i Infotech      ,1438.82,0.00048560365654065613
27,Xchanging Sol      ,1425.41,0.0004810777637714355
28,Expleo Solution      ,1184.16,0.0003996555690977214
29,Zen Tech      ,772.44,0.00026069952353891695
30,Kellton Tech      ,586.53,0.0001979546521947089
31,Cybertech      ,536.56,0.00018108971098084156
32,Genesys Int      ,512.1,0.00017283442856957094
33,Trigyn Tech      ,499.5,0.0001685819118736588
34,Xtglobal      ,484.07,0.00016337426642779181
35,Onward Tech      ,448.96,0.0001515245949045002
36,FCS Software      ,413.71,0.00013962767319569846
37,AXISCADES Techn      ,373.82,0.00012616474533856082
38,Allied Digital      ,327.05,0.00011037980836492515
39,ASM Tech      ,290.1,9.790913440350035e-05
40,Securekloud Tec      ,270.23,9.120298307431195e-05
41,Majesco      ,260.96,8.807434579089089e-05
42,Inspirisys Solu      ,233.34,7.875255919239148e-05
43,Softsol India      ,225.76,7.619429914834276e-05
44,Dynacons Sys      ,153.52,5.1813203425113316e-05
45,Cambridge Tech      ,152.63,5.1512827245798885e-05
46,IZMO      ,147.55,4.979832051443115e-05
47,Sagarsoft      ,145.67,4.916381802329505e-05
48,Indian Infotech      ,135.46,4.571792949430595e-05
49,Jeevan Scient      ,134.65,4.5444553420997316e-05
50,Rolta      ,126.91,4.2832293164937014e-05
51,Starcom Info      ,113.54,3.8319900448719165e-05
52,Megasoft      ,106.32,3.58831408816965e-05
53,Palred Tech      ,105.6,3.564013992764438e-05
54,VEDAVAAG System      ,102.7,3.4661386084934455e-05
55,Tera Software      ,95.9,3.23663770744422e-05
56,Danlaw Tech      ,95.3,3.2163876279398764e-05
57,Kernex Micro      ,92.93,3.13639981389772e-05
58,Bodhtree Cons      ,92.01,3.1053496919910604e-05
59,CG-Vak Software      ,85.83,2.8967738730963234e-05
60,Elnet Tech      ,85.24,2.8768612949170522e-05
61,WEP Solutions      ,84.67,2.8576237193879262e-05
62,Pressman Advt      ,78.78,2.6588354389202883e-05
63,Nettlinx      ,77.95,2.63082282893928e-05
64,Athena Global      ,69.14,2.3334841615505044e-05
65,B2B Software      ,60.53,2.0428955206631767e-05
66,Cressanda Sol      ,58.89,1.9875453033513046e-05
67,Vama Ind      ,54.12,1.8265571712917746e-05
68,Integra Telecom      ,52.46,1.770531951329758e-05
69,Cranes Software      ,46.52,1.5700561642367585e-05
70,Alphalogic Tech      ,44.68,1.5079559204234385e-05
71,Atishay      ,39.42,1.3304302234353614e-05
72,Saven Tech      ,30.41,1.026341529545138e-05
73,COSYN      ,27.38,9.240786280482038e-06
74,Goldstone Tech      ,25.07,8.461158219564817e-06
75,USG Tech      ,15.77,5.3223958963915905e-06
76,Bartronics      ,12.67,4.276141788667182e-06
77,Sankhya Infotec      ,11.87,4.006140728609269e-06
78,Usha Martin Edu      ,10.94,3.6922644962919466e-06
79,Southern Infosy      ,10.54,3.5572639662629903e-06
80,VCU Data Mgmt      ,9.84,3.3210130387123176e-06
81,Otco Intl      ,9.41,3.1758874689311897e-06
82,Everest Market      ,7.14,2.4097594610168644e-06
83,Nihar Info      ,6.05,2.0418830166879594e-06
84,Focus Business      ,4.37,1.4748807905663443e-06
85,T Spirutual      ,2.54,8.572533656838706e-07
86,Centerac Tech      ,1.82,6.142524116317498e-07
87,Pagaria Energy      ,1.68,5.670022261216151e-07
