,Company Name,Market_Cap,weights
0,Bharat Forge      ,37181.91,0.6431348706315388
1,Ratnamani Metal      ,9461.49,0.16365523307252364
2,Kirloskar Ferro      ,3863.48,0.06682654844755252
3,Welspun Corp      ,3849.0,0.06657608813158852
4,Electrosteel      ,1606.26,0.027783452149193397
5,Srikalahasthi      ,1034.14,0.017887502151312278
6,Gandhi Spl Tube      ,607.82,0.010513452296217755
7,Kalyani Forge      ,80.75,0.001396731389094771
8,National Fittin      ,54.41,0.0009411288530111019
9,Guj Intrux      ,42.7,0.000738581180363427
10,Welcast Steels      ,31.59,0.0005464116976037624
