,Company Name,Market_Cap,weights
0,Hind Zinc      ,140660.87,0.5497157917370873
1,Vedanta      ,98542.88,0.3851147607664647
2,Hind Copper      ,14084.7,0.05504432051272934
3,Gravita India      ,1236.81,0.004833568769895615
4,Bharat Wire Rop      ,503.09,0.0019661226157993423
5,Ram Ratna Wires      ,356.4,0.0013928444220137266
6,Nile      ,171.86,0.0006716449000204239
7,Bhagyanagar Ind      ,157.74,0.0006164626238171864
8,Cubex Tubings      ,40.74,0.00015921571760055898
9,UTL Industries      ,32.96,0.00012881075238376101
10,Shalimar Wires      ,30.36,0.00011864971002339152
11,Baroda Extrusio      ,28.47,0.000111263413846046
12,RCI Industries      ,13.4,5.236844908805818e-05
13,Starlit Power      ,12.38,4.838219400822092e-05
14,Southern Magnes      ,6.6,2.5793415222476416e-05
