,Company Name,Market_Cap,weights
0,PowerGrid InvIT      ,10757.1,0.34176061792744467
1,BB ETF-April 31      ,6783.54,0.21551782749398424
2,BB ETF-April 25      ,4747.55,0.150832996034381
3,IRB InvIT      ,3424.95,0.10881306563763482
4,Va Tech Wabag      ,2149.92,0.06830446753256657
5,Antony Waste      ,977.32,0.03105014242805684
6,Sanghvi Movers      ,935.89,0.029733882246341128
7,Kaya      ,657.32,0.020883517804619084
8,Xelpmoc Design     ,588.64,0.018701505994813752
9,Cupid      ,331.85,0.010543107441524436
10,Cosco India      ,77.06,0.002448250292131605
11,Gothi Plascon      ,27.59,0.000876553666752024
12,Vivanta Industr      ,16.81,0.0005340654997499646
