,Company Name,Market_Cap,weights
0,Reliance      ,1368616.95,0.8727833349092259
1,ONGC      ,145302.22,0.09266095684502082
2,Petronet LNG      ,33007.5,0.021049276005982737
3,Oil India      ,17567.36,0.011202914771990029
4,HOEC      ,1605.43,0.0010238018383181054
5,Asian Energy      ,506.39,0.00032293093620145715
6,Jindal Drilling      ,388.2,0.0002475597650692266
7,Deep Ind      ,333.44,0.00021263866065090913
8,Aban Offshore      ,293.29,0.00018703452729818
9,Selan Explore      ,222.38,0.00014181437546649823
10,Deep Energy Res      ,165.76,0.00010570712688787997
11,Gujarat Natural      ,71.05,4.530943149966139e-05
12,Continent Petro      ,26.22,1.6720806388756112e-05
