,Company Name,Market_Cap,weights
0,Hind Tin Works      ,129.63,0.2868999402430118
1,Rollatainers      ,82.54,0.1826793262952881
2,Scandent Imag      ,72.22,0.15983887745390968
3,AMD Industries      ,60.28,0.13341300931766376
4,Shetron      ,29.71,0.06575481929044111
5,Guj Containers      ,24.46,0.05413540490892593
6,Radha Madhav      ,22.18,0.04908925923466791
7,Duro Pack      ,11.57,0.025606976075072486
8,Rajeshwari      ,10.6,0.023460150941725873
9,Trans Freight      ,8.64,0.019122236239293544
