,Company Name,Market_Cap,weights
0,Sun Pharma      ,166369.89,0.1332197338809741
1,Divis Labs      ,127819.14,0.1023504422326358
2,Dr Reddys Labs      ,89453.51,0.07162938436107072
3,Cipla      ,76655.23,0.06138123515730438
4,Gland      ,66738.6,0.053440550640436076
5,Cadila Health      ,63001.12,0.050447784996451674
6,Aurobindo Pharm      ,56484.48,0.045229622944423446
7,Lupin      ,53656.2,0.04296489397849769
8,Torrent Pharma      ,51675.54,0.041378891859312
9,Alkem Lab      ,40680.8,0.032574916952010556
10,Abbott India      ,37356.27,0.029912818648770014
11,Laurus Labs      ,34876.47,0.027927133041368107
12,GlaxoSmithKline      ,28324.69,0.022680832836164573
13,Ipca Labs      ,27953.13,0.022383308300199477
14,Pfizer      ,25688.72,0.02057009499821667
15,Natco Pharma      ,19917.67,0.015948959856432323
16,Alembic Pharma      ,18750.16,0.01501408292946329
17,Ajanta Pharma      ,18580.53,0.014878252681224082
18,Glenmark      ,18386.08,0.014722547960537215
19,Sanofi India      ,18367.61,0.014707758214118665
20,JB Chemicals      ,14140.31,0.011322772018389125
21,Suven Pharma      ,12712.97,0.01017983771123974
22,Jubilant Pharmo      ,11446.74,0.009165911311263724
23,Eris Life      ,10351.44,0.008288856127060436
24,Granules India      ,9473.56,0.0075858987591170554
25,Procter&Gamble      ,9150.24,0.007327002126088107
26,AstraZeneca      ,8758.63,0.007013422667779105
27,Sequent Scienti      ,7397.73,0.005923689809035147
28,Strides Pharma     ,6896.56,0.0055223808099781205
29,Aarti Drugs      ,6635.25,0.005313138328298068
30,Hikal      ,6513.98,0.005216032072305798
31,FDC      ,6455.3,0.005169044399331226
32,SOLARA ACTIVE P      ,6131.24,0.004909555215552428
33,Wockhardt      ,6059.73,0.004852293993766271
34,Caplin Labs      ,5877.44,0.004706326323239094
35,Shilpa      ,5206.72,0.004169251135483383
36,Advanced Enzyme      ,4486.78,0.0035927633154200977
37,Indoco Remedies      ,4171.03,0.003339928316413261
38,IOL Chemicals      ,3938.55,0.0031537712916496524
39,Valiant Organic      ,3801.49,0.003044021283846399
40,Marksans Pharma      ,3540.56,0.002835083084983837
41,Alembic      ,3349.72,0.0026822690510631252
42,Dishman Carboge      ,3291.66,0.0026357778395276164
43,Morepen Lab      ,2928.37,0.002344875458564216
44,Neuland Lab      ,2821.29,0.0022591317635724437
45,Novartis India      ,2428.34,0.0019444793079596596
46,Unichem Labs      ,2363.17,0.0018922948047600536
47,Panacea Biotec      ,2160.62,0.0017301040555950974
48,Hester Bio      ,2054.24,0.0016449208815829128
49,Amrutanjan Heal      ,2011.51,0.0016107050795003725
50,Orchid Pharma      ,2009.19,0.0016088473528251678
51,NGL Fine Chem      ,1938.05,0.0015518824064139362
52,Gufic Bio      ,1784.26,0.0014287359471985396
53,SMS Pharma      ,1618.97,0.0012963809290327754
54,Bajaj Healthcar      ,1264.08,0.0010122047998244257
55,Bliss GVS      ,1151.4,0.0009219769369959529
56,TTK Healthcare      ,1134.1,0.0009081240613575733
57,Suven Life Sci      ,1102.27,0.0008826363716714685
58,Kopran      ,994.33,0.00079620403661906
59,Nectar Life      ,937.41,0.0007506256735360223
60,Take Solutions      ,929.77,0.0007445079874159519
61,Fermenta Bio      ,927.08,0.0007423539853658224
62,Themis Medicare      ,834.86,0.0006685093500264384
63,Lincoln Pharma      ,767.1,0.0006142509192023583
64,RPG Life      ,762.61,0.0006106555774904321
65,Medicamen Bio      ,731.77,0.0005859606246183154
66,Anuh Pharma      ,689.79,0.0005523453807281902
67,Syncom Formula      ,662.77,0.0005307092709161088
68,Ind-Swift Labs      ,640.8,0.0005131169195996234
69,Venus Remedies      ,622.17,0.0004981990541000277
70,Guj Themis      ,621.83,0.0004979268010527995
71,JagsonpalPharma      ,444.32,0.0003557866880719487
72,Smruthi Organic      ,414.13,0.0003316122189665919
73,Shree Ganesh Re      ,411.27,0.00032932209039284827
74,Bafna Pharma      ,372.35,0.0002981571239277775
75,Lasa Supergener      ,335.96,0.00026901804043178763
76,Albert David      ,328.45,0.0002630044510650692
77,Zenotech Labs      ,315.22,0.00025241060455086353
78,Wanbury      ,283.29,0.00022684284043910323
79,Kilitch Drugs      ,283.23,0.00022679479578371
80,Bharat Immuno      ,277.65,0.00022232664283214023
81,Everest Organic      ,272.0,0.00021780243778261172
82,Mangalam Drugs      ,263.54,0.00021102814137216727
83,Krebs Biochem      ,247.95,0.00019854453841249475
84,Praveg      ,240.76,0.0001927871872078735
85,ZIM Laboratorie      ,240.14,0.00019229072576881022
86,Ambalal Sarabha      ,238.71,0.0001911456614819384
87,Jenburkt Pharma      ,232.47,0.00018614901732104318
88,Kimia Bio      ,229.7,0.00018393095573038937
89,Brooks Labs      ,224.43,0.0001797110334983513
