,Company Name,Market_Cap,weights
0,Kama Holdings      ,6388.83,0.46547088926321195
1,GRWRHITECH      ,2137.38,0.15572306185849427
2,Kingfa Science      ,1425.4,0.10385034592496316
3,Shaily Engg      ,1384.1,0.10084135245877753
4,Wim Plast      ,701.96,0.051142688947304005
5,Kkalpana Ind      ,421.45,0.030705576182177435
6,Caprihans      ,213.43,0.015549866234576179
7,Arrow Greentech      ,212.73,0.015498866345318794
8,Captain Poly      ,177.08,0.012901514842424916
9,Commercial Syn     ,165.8,0.01207968805553451
10,Premier Polyfil      ,150.62,0.010973719028495825
11,Bright Brothers      ,115.31,0.008401138900384103
12,Tokyo Plast      ,102.81,0.007490426592216544
13,Tainwala Chem      ,98.32,0.0071632987311227555
14,Vinyoflex      ,12.61,0.000918726576479434
15,Royal Cushion      ,10.25,0.0007467840926973988
16,Kuwer Ind      ,7.44,0.0005420559658213315
