,Company Name,Market_Cap,weights
0,Apollo Pipes      ,1320.31,0.3957668880842186
1,Nahar Poly Film      ,523.23,0.15683976403443564
2,PPL      ,408.76,0.12252703772091797
3,Sintex Plastics      ,361.97,0.10850159468597877
4,Mitsu Chem Plas      ,307.85,0.0922789621352006
5,Machino Plastic      ,81.62,0.02446584014771828
6,Polyspin Export      ,77.45,0.023215870123018633
7,Dhabriya Poly      ,73.6,0.022061821059447016
8,Shish Industrie      ,68.24,0.020455144960552504
9,Guj Petrosynth      ,38.53,0.011549483225821923
10,Guj Craft Ind      ,33.0,0.009891849116328146
11,Captain Pipes      ,17.88,0.005359583703028704
12,Amco India      ,17.45,0.005230689911512913
13,Polymac Thermo      ,6.19,0.0018554710918203402
