,Company Name,Market_Cap,weights
0,Supreme Ind      ,26659.76,0.7419284636487955
1,Nilkamal      ,3748.76,0.10432621101570529
2,Time Techno      ,1888.33,0.05255132738486506
3,Acrysil India      ,1612.5,0.044875109439607964
4,Mold-Tek Pack      ,1511.26,0.04205764830493143
5,Pil Italica      ,188.0,0.005231950743966696
6,Prima Plastics      ,172.76,0.004807828779402587
7,OK Play      ,57.91,0.0016116078062931455
8,National Plasti      ,43.69,0.0012158719574675795
9,National Tech      ,41.33,0.0011501942779156573
10,MPL Plastics      ,8.76,0.00024378664104866095
