,Company Name,Market_Cap,weights
0,Astral Ltd      ,40833.5,0.6601736028533611
1,Finolex Ind      ,10855.24,0.17550155878477033
2,Prince Pipes      ,7563.17,0.12227717898030918
3,Jain Irrigation      ,1595.82,0.025800341359556507
4,Kriti Ind      ,570.19,0.009218518780191705
5,Texmo Pipes      ,149.92,0.0024238242261813434
6,Dutron Polymers      ,141.03,0.0022800955884361984
7,Kisan Mouldings      ,62.82,0.0010156392601968517
8,JISL      ,40.33,0.0006520332913680202
9,Tijaria Polypip      ,23.39,0.00037815667456231073
10,Kunststoffe Ind      ,17.26,0.0002790502010665021
