,Company Name,Market_Cap,weights
0,Indiamart Inter      ,21725.04,0.683915471036666
1,Navneet      ,2196.01,0.0691315281146193
2,DB Corp      ,1801.23,0.056703649976956254
3,JagranPrakashan      ,1678.16,0.05282934286311516
4,MPS      ,1153.41,0.036309942050666
5,HT Media      ,749.45,0.02359307277539785
6,Sandesh      ,714.7,0.022499124841653003
7,Hindustan Media      ,663.04,0.02087284138101246
8,S Chand and Co      ,467.97,0.014731937109484197
9,Repro India      ,426.8,0.013435884262512245
10,Sambhaav Media      ,74.15,0.0023342802672569893
11,Next Mediaworks      ,38.8,0.0012214440238647493
12,Diligent Media     ,30.49,0.000959840935248356
13,Infomedia Press      ,28.26,0.0008896393843922119
14,Cyber Media      ,18.17,0.0005720009771552191
