,Company Name,Market_Cap,weights
0,Avenue Supermar      ,221140.56,0.7610217970214028
1,Trent      ,32096.96,0.11045683423305107
2,Aditya Birla F      ,19431.44,0.06687036239536323
3,V-Mart Retail      ,6524.38,0.022452667172636716
4,Future Retail      ,3486.89,0.011999604657851817
5,Shoppers Stop      ,2742.17,0.009436763392198068
6,AFL      ,2336.16,0.008039541372824236
7,Spencer Retail      ,823.42,0.0028336754148735243
8,Future Ent DVR      ,641.35,0.0022071090419580955
9,Future Ent      ,508.61,0.0017503044045065984
10,V2 Retail      ,440.7,0.0015166024086550754
11,White Organic      ,267.63,0.0009210081747863804
12,Future Market      ,97.54,0.0003356691602909373
13,Mandhana Retail      ,45.93,0.00015806114960183258
