,Company Name,Market_Cap,weights
0,Tata Elxsi      ,26584.88,0.3771610603459
1,Tanla Platforms      ,13738.32,0.19490625267337244
2,Nazara      ,5633.77,0.07992658484615772
3,Newgen Software      ,4183.7,0.05935436715039308
4,Subex      ,3579.96,0.05078907670811034
5,Brightcom Group      ,2646.94,0.03755227396444809
6,Accelya Kale      ,2123.11,0.03012067080351628
7,Nucleus Softwar      ,2055.65,0.02916361231271495
8,Ramco System      ,1923.12,0.027283402384077237
9,Cigniti Tech      ,1703.76,0.024171330778056197
10,OnMobile Global      ,1542.0,0.021876433335541776
11,Moschip Tech      ,796.66,0.011302256407971927
12,Saksoft      ,730.16,0.010358817486562375
13,63 Moons Tech      ,526.22,0.0074655102138967535
14,aurionPro Sol      ,477.21,0.006770202822343639
15,ABM Knowledg      ,288.03,0.004086296429076587
16,Virinchi     ,287.8,0.004083033407243141
17,Mindteck      ,265.63,0.003768506476601791
18,Intense Tech      ,225.69,0.0032018756416980695
19,Eco Recycling      ,211.11,0.002995028431560457
20,Ceinsys Tech      ,174.54,0.0024762079600424525
21,GSS Infotech      ,136.51,0.001936674393407787
22,Compucom Soft      ,120.82,0.001714079556160932
23,RS Software      ,95.89,0.0013603963635182236
24,Globalspace Tec      ,82.77,0.0011742622484972715
25,Odyssey Tech      ,81.64,0.001158230880359034
26,Trejhara      ,79.64,0.0011298567774594987
27,Ram Informatics      ,40.95,0.0005809597568679869
28,ORCHASP      ,39.58,0.0005615234963818051
29,Lee and Nee      ,27.33,0.0003877321161221509
30,Prithvi Exc      ,24.54,0.00034815024257729905
31,California Soft      ,19.01,0.00026969584806008377
32,Parle Indus      ,12.96,0.00018386418678898925
33,Svam Software      ,7.82,0.00011094274233718332
34,Advent Computer      ,7.13,0.00010115367683684362
35,Twinstar Ind      ,6.95,9.860000757588543e-05
36,Omni Axs Soft      ,5.01,7.107712776333612e-05
