,Company Name,Market_Cap,weights
0,TATA Cons. Prod      ,70945.66,0.8673171719256157
1,CCL Products      ,5406.92,0.06610009073462775
2,Tata Coffee      ,3782.1,0.04623651786367018
3,Rossell India      ,706.96,0.00864265055627833
4,Mcleod      ,336.35,0.004111909463907741
5,Jayshree Tea      ,334.98,0.0040951610888057535
6,Warren Tea      ,108.45,0.0013258111531464086
7,B and A      ,79.98,0.0009777628033992602
8,Kanco Tea      ,36.37,0.0004446265711381731
9,Tyroon Tea      ,27.2,0.00033252248377669256
10,Asian Tea Expo      ,20.0,0.00024450182630639163
11,Retro Green Rev      ,14.01,0.00017127352932762733
