,Company Name,Market_Cap,weights
0,INDUS TOWERS      ,61700.58,0.6326692999954268
1,ITI      ,12023.77,0.1232900914254941
2,HFCL      ,9669.84,0.09915321547816532
3,GTL Infra      ,5298.91,0.05433429767497756
4,Tejas Networks      ,1793.62,0.018391533918446102
5,Vindhya Telelin      ,1649.11,0.016909748163071694
6,Astra Microwave      ,1500.11,0.015381922562415776
7,Digispice Tech      ,1447.95,0.01484708106355529
8,Optiemus Infra      ,1446.4,0.014831187575763231
9,Prabhat Technol      ,447.52,0.004588808810775415
10,Avantel      ,296.38,0.0030390399431033644
11,ADC India Comm      ,119.83,0.001228720414272475
12,Valiant Comm      ,45.25,0.00046398730489718347
13,Punj Comm      ,40.1,0.0004111799099751836
14,Maestros Elect      ,35.62,0.0003652426033245895
15,Aishwarya Tech      ,5.04,5.167946998191834e-05
16,Kavveri Telecom      ,4.19,4.296368635401545e-05
