,Company Name,Market_Cap,weights
0,Page Industries      ,36619.95,0.2118436006658214
1,Alok Industries      ,12909.63,0.07468121891109922
2,Welspun India      ,12749.96,0.07375754021360477
3,KPR Mill      ,12504.84,0.07233953982323815
4,Lux Industries      ,12061.6,0.06977543043589277
5,Trident      ,9019.84,0.05217908224969184
6,Garware Technic      ,7111.1,0.04113716781958257
7,Indo Count      ,4498.74,0.026024865682759187
8,Rupa and Comp      ,3811.21,0.022047557391355947
9,Swan Energy      ,3386.62,0.019591336822876167
10,PDS Multi      ,3193.33,0.01847316900526045
11,Raymond      ,3022.45,0.01748464131798137
12,Arvind      ,2734.24,0.015817368584187457
13,Himatsingka Sei      ,2504.26,0.01448695193203131
14,Mayur Uniquoter      ,2202.13,0.012739153066408482
15,Filatex India      ,2192.4,0.012682865763053932
16,Bombay Dyeing      ,2145.9,0.012413866831297863
17,Siyaram Silk      ,1879.02,0.010869986510715928
18,Dollar Ind      ,1785.14,0.010326897914731846
19,Jindal Worldwid      ,1583.11,0.009158169867792514
20,Future Life      ,1470.94,0.008509275025317712
21,Indo Rama Synth      ,1381.29,0.007990656654738536
22,Sutlej Textiles      ,1227.9,0.00710330727533932
23,Kitex Garments      ,1183.7,0.006847613667089463
24,Nahar Spinning      ,1172.12,0.006780624255697306
25,Nitin Spinners      ,1105.29,0.00639401783399283
26,Ganesha Ecosph      ,1105.0,0.006392340206246395
27,Kewal Kiran      ,1104.32,0.006388406458427165
28,Sportking India      ,989.88,0.005726379840144055
29,Rajapalayam      ,959.52,0.005550749569862027
30,Century Enka      ,947.55,0.005481504038397078
31,Cheviot Company      ,894.31,0.005173514723844536
32,RSWM      ,858.07,0.00496386910477271
33,Gokaldas Export      ,826.21,0.004779561449595324
34,Ambika Cotton      ,825.0,0.004772561692446403
35,S P Apparels      ,787.35,0.00455475933157294
36,Monte Carlo      ,743.04,0.004298429381764091
37,Vishal Fabrics      ,690.65,0.003995357251985586
38,Pearl Global In      ,679.38,0.003930161166805136
39,Sangam India      ,566.65,0.0032780267673027325
40,Ruby Mills      ,487.39,0.0028195137494320633
41,Nahar Ent      ,485.99,0.0028114148568630635
42,Mallcom (India)      ,395.62,0.0022886313415341163
43,AYM Syntex      ,392.78,0.002272202159465573
44,Loyal Textiles      ,382.91,0.002215104966854124
45,Binny      ,381.66,0.0022078738127746596
46,Banswara Syntex      ,362.52,0.002097150381509903
47,Nandan Denim      ,359.89,0.0020819360333267103
48,Zodiac Clothing      ,345.89,0.0020009471076367106
49,Sarla Performan      ,344.03,0.0019901871503664676
50,Bombay Rayon      ,328.91,0.0019027191106212686
51,Ginni Filaments      ,326.49,0.0018887195963234256
52,JCT      ,324.76,0.001878711679077447
53,Shri Dinesh Mil      ,305.23,0.0017657321277398978
54,Surat Textile      ,301.56,0.0017445014593625908
55,JBF Industries      ,296.79,0.0017169073753953551
56,Maral Overseas      ,292.22,0.0016904702760808339
57,Bannari A Spg      ,279.32,0.0016158447659807627
58,Donear Ind      ,279.24,0.0016153819721196772
59,Pasupati Acrylo      ,272.75,0.0015778378201390987
60,Indian Acrylics      ,265.23,0.0015343351971970419
61,Mafatlal Ind      ,250.64,0.001449933166781535
62,Shiva Texyarn      ,248.24,0.001436049350948964
63,Deepak Spinners      ,237.61,0.0013745556166571999
64,Lakshmi Mills      ,228.48,0.0013217392672607929
65,Super Sales      ,225.76,0.0013060042759838787
66,Orbit Exports      ,197.02,0.0011397455813888368
67,Jasch Ind      ,188.08,0.0010880283674125086
68,Indian Terrain      ,183.68,0.0010625747050527943
69,Suryalata Spg      ,181.33,0.0010489801353834017
70,VIP Clothing      ,180.47,0.0010440051013767301
71,KG Petrochem      ,179.02,0.0010356169626445516
72,Lovable Lingeri      ,176.71,0.0010222537899057017
73,SPL Industries      ,159.5,0.0009226952605396379
74,Pioneer      ,155.69,0.0009006547029054309
75,Premco Global      ,154.14,0.0008916880718468952
76,TT      ,150.49,0.0008705731019348597
77,VTM      ,148.24,0.000857557024591824
78,KG Denim      ,143.57,0.0008305414329509456
79,Amarjothi Spin      ,139.05,0.0008043935797996029
80,Junction Fabric      ,134.56,0.0007784192743461672
81,R&B Denims      ,123.85,0.0007164627461933176
82,Sambandam Spin      ,119.15,0.000689273606854532
83,Winsome Textile      ,118.92,0.0006879430745039106
84,Suryalakshmi Co      ,111.12,0.0006428206730480537
85,Damodar Ind      ,110.79,0.0006409116483710752
86,Bhilwara Tech      ,110.68,0.0006402753068120823
87,Reliance Chemo      ,106.18,0.000614243152126011
88,Sumeet Ind      ,104.06,0.0006019791148072397
89,Lambodhara Text      ,102.63,0.0005937066745403325
90,Salona Cotspin      ,101.49,0.0005871118620198612
91,Raghuvir Synth      ,98.17,0.0005679059167848042
92,RRIL      ,97.67,0.0005650134551530184
93,Kallam Spinning      ,97.07,0.0005615425011948756
