,Company Name,Market_Cap,weights
0,Adani Enterpris      ,153764.45,0.7391751542038866
1,Sundram      ,16135.76,0.0775676880201952
2,Redington      ,12478.98,0.05998884635432452
3,MMTC Ltd      ,7515.0,0.03612604398378303
4,Apollo Tricoat     ,4520.48,0.021730812948477913
5,MSTC      ,2117.63,0.010179852897056349
6,SVP Global      ,1388.34,0.006674016221483078
7,Yaarii Digital      ,991.96,0.00476854166202973
8,Uniphos Ent      ,955.91,0.004595242409120165
9,Shree Global      ,946.46,0.0045498144496195995
10,Hexa Tradex      ,762.38,0.003664906641697473
11,Quint Digital      ,730.96,0.003513864685347445
12,STC India      ,684.0,0.003288118973374264
13,Rangoli      ,516.71,0.0024839239104272165
14,Grandeur Prod      ,465.37,0.002237122699764885
15,Veritas      ,455.64,0.002190348726649488
16,Mishtann Foods      ,406.0,0.0019517197415057767
17,PTL Enterprises      ,357.09,0.0017166000061435904
18,Sat Ind      ,356.22,0.0017124177495546498
19,Kothari Product      ,332.91,0.0016003621161199215
20,SEL      ,313.14,0.0015053239405298493
21,Anmol India      ,199.2,0.0009575925431230312
22,Proseed India      ,148.25,0.000712666137138501
23,Signet Ind      ,142.92,0.0006870438065418856
24,Ausom Enterp      ,131.81,0.0006336359091819616
25,Maximus Interna      ,123.71,0.0005946976581814769
26,Competent Auto      ,118.03,0.0005673928105663222
27,HKG      ,117.25,0.00056364320121072
28,Sicagen India      ,98.73,0.0004746140149725747
29,Lahoti Over      ,77.3,0.0003715959015231442
30,Biogen Pharmach      ,58.08,0.00027920168124791997
31,Dhoot Ind Fin      ,55.6,0.0002672798463736975
32,Zenithexpo      ,47.19,0.00022685136601393495
33,Remedium Lifeca      ,45.99,0.0002210827362360854
34,Thacker      ,42.52,0.000204401781795137
35,Chandra Prabhu      ,38.81,0.0001865671013986187
36,Binny Mills      ,38.74,0.00018623059799491082
37,Trident Texofab      ,34.04,0.0001636367980316666
38,CCL Internation      ,33.59,0.000161473561864973
39,Fortune Intl      ,30.94,0.0001487345044388885
40,Bombay Cycle      ,26.88,0.00012921730702383072
41,Sun Retail     ,25.21,0.00012118929724965673
42,Mayukh Dealtrad      ,21.57,0.00010369112025684632
43,Le Lavoir      ,14.32,6.883898201567174e-05
44,Shree Metalloys      ,13.53,6.504130074525407e-05
45,Ace Men Engg Wo      ,12.39,5.956110245629698e-05
46,Diggi Multitrad      ,11.71,5.6292212248848884e-05
47,Pazel Internati      ,11.27,5.4177047996970696e-05
48,Rammaica      ,10.82,5.20138118302771e-05
49,Navketan Merch      ,9.88,4.7495051837628264e-05
50,MRC Exim      ,8.28,3.980354546716214e-05
51,Mah Corporation      ,7.17,3.4467562922651276e-05
52,Mystic Electr      ,7.12,3.4227203348574215e-05
53,Amforge      ,6.89,3.312154930781971e-05
54,Preeti Sec      ,6.85,3.2929261648558054e-05
55,Asia Pack      ,6.65,3.196782335224979e-05
56,Mukta Agri      ,6.55,3.1487104204095655e-05
57,SVP Housing      ,5.76,2.7689422933678014e-05
58,Devhari Exports      ,5.72,2.749713527441636e-05
59,Universal      ,5.0,2.4035957407706608e-05
60,Trijal Ind      ,3.36,1.615216337797884e-05
61,Atharv Ent      ,2.91,1.3988927211285247e-05
62,AVI Photochem      ,2.86,1.374856763720818e-05
63,Gagan Polycot      ,2.55,1.225833827793037e-05
64,Omansh Ente      ,2.31,1.1104612322360453e-05
65,Guj Cotex      ,2.22,1.0671965089021736e-05
66,Chambal Brewery      ,2.21,1.0623893174206321e-05
67,Yarn Syndicate      ,1.59,7.643434455650701e-06
