,Company Name,Market_Cap,weights
0,Sun TV Network      ,20992.89,0.3542529817953547
1,Zee Entertain      ,19685.77,0.33219545862611294
2,TV18 Broadcast      ,7080.31,0.11947954424262061
3,Network 18      ,5318.5,0.08974917144226421
4,TV TodayNetwork      ,1793.04,0.030257376020087885
5,Nxtdigital      ,1166.24,0.019680186838925678
6,Ent Network Ind      ,960.56,0.01620935679619842
7,Music Broadcast      ,888.41,0.014991832546962855
8,Zee Media      ,633.68,0.010693288513591047
9,NDTV      ,482.25,0.008137921956948747
10,Siti Networks      ,147.38,0.002487023199616602
11,Colorchips New     ,91.85,0.001549959837730933
12,Perfect-Octave      ,7.04,0.00011879931690392781
13,TV Vision      ,6.78,0.00011441184213190775
14,Padmalaya Tele      ,4.9,8.268702454960885e-05
