,Company Name,Market_Cap,weights,index
0,Bombay Burmah,8841.5,0.5372733990267521,BOM501425
1,Kaveri Seed,4201.92,0.25533900818169886,BOM532899
2,Nath Bio-Genes,693.65,0.042151183988566036,BOM537291
3,Goodricke Group,629.32,0.03824202855573326,BOM500166
4,JK Agri Genetic,455.67,0.02768980034321327,BOM536493
5,Harrisons Malay,413.03,0.025098685969577494,BOM500467
6,Dhunseri Tea,365.52,0.022211635221654518,BOM538902
7,Neelamalai Agro,161.74,0.009828490590803245,BOM508670
8,Raghuvansh Agro,153.74,0.009342352809633307,BOM538921
9,Mangalam Seeds,99.92,0.00607186088681254,BOM539275
10,Joonktollee Tea,52.88,0.003213370733533298,BOM538092
11,Joonktollee Tea,52.88,0.003213370733533298,BOM590079
12,Indo US Bio-Tec,41.26,0.002507255606383961,BOM541304
13,Diana Tea,35.98,0.002186404670811801,BOM530959
14,Transchem,34.15,0.0020752006533691775,BOM500422
15,Kanel Ind,9.56,0.0005809346484980773,BOM500236
