,Company Name,Market_Cap,weights,index
0,Maan Aluminium,264.41,0.01651789256154463,BOM532906
1,PG Foils,141.93,0.008866474381680077,BOM526747
2,Manaksia Alumin,117.96,0.0073690503632986805,BOM539045
3,Arfin India,108.31,0.006766207569081724,BOM539151
4,Century Extr,74.48,0.004652821897749117,BOM500083
5,Hardwyn,50.13,0.0031316589921343073,BOM541276
6,Sacheta Metals,37.11,0.0023182897506104955,BOM531869
7,Nirav Comm,28.83,0.001801031891945583,BOM512425
8,Hind Aluminium,24.67,0.0015411535474955788,BOM531979
9,Golkonda Alum,5.54,0.00034608798756082307,BOM513309
10,Sudal Ind,4.74,0.0002961113828588992,BOM506003
11,Synthiko Foils,4.7,0.000293612552623803,BOM513307
