,Company Name,Market_Cap,weights,index
0,Schaeffler Ind,20533.77,0.42713327210757707,BOM505790
1,SKF India,13549.46,0.28184912878106316,BOM500472
2,Timken,11696.51,0.24330498435206963,BOM522113
3,NRB Bearings,1373.88,0.028578768530238628,BOM530367
4,Menon Bearings,472.42,0.009827045905796236,BOM523828
5,Bimetal Bearing,161.47,0.00335881864105863,BOM505681
6,SNL Bearings,97.35,0.002025026287899038,BOM505827
7,Galaxy Bearings,85.54,0.0017793605410054824,BOM526073
8,NRB Industrial,44.1,0.0009173462690944794,BOM535458
9,Vishal Bearing,36.8,0.0007654952993804272,BOM539398
10,Austin Eng,22.15,0.0004607532848172952,BOM522005
