,Company Name,Market_Cap,weights,index
0,Mahindra CIE,9250.27,0.22480479614931562,BOM532756
1,PTC Industries,1162.55,0.028252885133448737,BOM539006
2,Steelcast,486.57,0.011824873183417618,BOM513517
3,Rama Steel Tube,242.84,0.005901621973942361,BOM539309
4,Synergy Green I,196.41,0.004773256349456511,BOM541929
5,LGB Forge,170.08,0.004133371212848447,BOM533007
6,Uni Abex,149.12,0.003623990564792805,BOM504605
7,Magna Electro,79.16,0.0019237868368360946,BOM517449
8,Rajkumar Forge,70.01,0.0017014188535484462,BOM513369
9,Bhagwati Auto,44.39,0.0010787885003430298,BOM504646
10,Porwal Auto,43.64,0.0010605616164669931,BOM532933
11,Universal Auto,42.17,0.001024836924069961,BOM539314
12,Simplex Casting,37.77,0.0009179058719972121,BOM513472
13,Metalyst Forgin,33.93,0.0008245842265519037,BOM513335
14,Hilton Metal,14.92,0.0003625934765739582,BOM532847
15,Sibar Auto,13.53,0.0003288129851237034,BOM520141
16,Carnation Ind,1.96,4.763292319604277e-05,BOM530609
