,Company Name,Market_Cap,weights,index
0,Endurance Techn,23328.93,0.4630720333347757,BOM540153
1,WABCO India,13591.98,0.2697965922845842,BOM533023
2,Suprajit Eng,4317.22,0.08569547955065066,BOM532509
3,Minda Corp,3170.19,0.06292728939379442,BOM538962
4,Alicon Castallo,1282.77,0.025462587105403046,BOM531147
5,Banco Products,1178.27,0.023388294478888065,BOM500039
6,Lumax Auto Tech,1150.5,0.02283706858187064,BOM532796
7,Munjal Auto Ind,647.0,0.012842749563207566,BOM520059
8,Munjal Showa,597.13,0.011852845512640084,BOM520043
9,PPAP Automotive,388.01,0.0077018782967854214,BOM532934
10,Commercial Eng,294.85,0.00585268115720518,BOM533272
11,Jay Ushin,233.03,0.004625573308677371,BOM513252
12,Remsons Ind,137.69,0.0027331038444482997,BOM530919
