,Company Name,Market_Cap,weights,index
0,JBM Auto,2330.41,0.3118819500300451,BOM532605
1,Sharda Motor,1909.37,0.255533592341634,BOM535602
2,Precision Camsh,975.03,0.13048959528057075,BOM539636
3,Rico Auto,756.24,0.10120863105235617,BOM520008
4,IST Ltd,647.34,0.08663439546365208,BOM508807
5,IST Ltd,647.34,0.08663439546365208,BOM523846
6,IST Ltd,647.34,0.08663439546365208,BOM526707
7,Talbros Auto,385.92,0.05164820016889518,BOM505160
8,UCAL Fuel,353.6,0.04732277046984178,BOM500464
9,Spectra Ind,3.21,0.00042959867988742105,BOM513687
