,Company Name,Market_Cap,weights,index
0,Varroc Engineer,5229.11,0.4683819709428351,BOM541578
1,Rajratan Global,1881.73,0.1685503663495817,BOM517522
2,Pricol,1173.11,0.10507783808960786,BOM526109
3,Pricol,1173.11,0.10507783808960786,BOM540293
4,Rane Brake,794.63,0.0711766181186292,BOM532987
5,Enkei Wheels,692.57,0.06203489726088749,BOM533477
6,Kinetic Eng,113.95,0.010206732233388869,BOM500240
7,Frontier Spring,109.81,0.009835904050446966,BOM522195
8,Sal Automotive,55.81,0.004999014707726484,BOM539353
9,PAE,8.01,0.0007174719191702048,BOM517230
