,Company Name,Market_Cap,weights,index
0,HDFC Bank,797422.67,0.3654039450745941,BOM500180
1,ICICI Bank,468639.08,0.21474504687473747,BOM532174
2,Kotak Mahindra,341634.86,0.15654775104275206,BOM500247
3,Kotak Mahindra,341634.86,0.15654775104275206,BOM537708
4,Kotak Mahindra,341634.86,0.15654775104275206,BOM539133
5,Kotak Mahindra,341634.86,0.15654775104275206,BOM539135
6,Kotak Mahindra,341634.86,0.15654775104275206,BOM539136
7,Kotak Mahindra,341634.86,0.15654775104275206,BOM539137
8,Kotak Mahindra,341634.86,0.15654775104275206,BOM590107
9,Kotak Mahindra,341634.86,0.15654775104275206,BOM590112
10,Axis Bank,231518.52,0.10608900868824223,BOM532215
11,IndusInd Bank,76513.2,0.03506073526889,BOM532187
12,Bandhan Bank,49133.61,0.022514552953149084,BOM541153
13,IDBI Bank,40267.75,0.01845193930751616,BOM500116
14,AU Small Financ,36613.61,0.01677749835908554,BOM540611
15,Yes Bank,32746.76,0.015005587052611527,BOM532648
16,IDFC First Bank,31747.96,0.01454790573243975,BOM539437
17,Federal Bank,17048.26,0.007812044596948064,BOM500469
18,RBL Bank,12249.63,0.005613162625166024,BOM540065
19,City Union Bank,11507.15,0.0052729351255653605,BOM532210
20,CSB Bank,6073.74,0.0027831771541651368,BOM542867
21,Ujjivan Small,5029.39,0.002304623402942273,BOM542904
22,Karur Vysya,3988.62,0.0018277101194068479,BOM590003
23,DCB Bank,3237.9,0.0014837067947378875,BOM532772
24,Karnataka Bank,1882.32,0.0008625377478832022,BOM532652
25,Dhanlaxmi Bank,446.57,0.00020463230591621063,BOM532180
