,Company Name,Market_Cap,weights,index
0,SBI,382999.7,0.5698311513097796,BOM535276
1,SBI,382999.7,0.5698311513097796,BOM538709
2,SBI,382999.7,0.5698311513097796,BOM538710
3,SBI,382999.7,0.5698311513097796,BOM538711
4,SBI,382999.7,0.5698311513097796,BOM538712
5,SBI,382999.7,0.5698311513097796,BOM538818
6,SBI,382999.7,0.5698311513097796,BOM538819
7,SBI,382999.7,0.5698311513097796,BOM538820
8,SBI,382999.7,0.5698311513097796,BOM538821
9,SBI,382999.7,0.5698311513097796,BOM539031
10,SBI,382999.7,0.5698311513097796,BOM540719
11,PNB,44154.17,0.06569305805259829,BOM532366
12,PNB,44154.17,0.06569305805259829,BOM540173
13,Bank of Baroda,41293.33,0.06143666894599307,BOM532134
14,Bank of India,26903.64,0.04002753045400254,BOM500112
15,Bank of India,26903.64,0.04002753045400254,BOM532149
16,Bank of India,26903.64,0.04002753045400254,BOM533171
17,Union Bank,24946.83,0.03711616708950255,BOM532210
18,Union Bank,24946.83,0.03711616708950255,BOM532477
19,Canara Bank,24050.61,0.035782761150994366,BOM532483
20,Central Bank,22049.59,0.032805621663955876,BOM532885
21,Indian Bank,17305.4,0.025747163785967093,BOM532218
22,Indian Bank,17305.4,0.025747163785967093,BOM532814
23,UCO Bank,16200.32,0.024103013650368,BOM532505
24,Bank of Mah,15648.4,0.023281861025363608,BOM532525
25,Punjab & Sind,7902.7,0.011757723673036284,BOM533295
