,Company Name,Market_Cap,weights,index
0,Firstsource Sol,15393.68,0.44650190363317516,BOM532809
1,eClerx Services,7571.04,0.21960205568018265,BOM532927
2,Hinduja Global,6066.11,0.1759507578855894,BOM532859
3,Vakrangee,3962.18,0.11492514541924308,BOM511431
4,ALLSEC Tech,689.31,0.019993804418006866,BOM532633
5,IRIS Business S,192.18,0.005574283461798842,BOM540735
6,Intrasoft Tech,167.43,0.004856396503324904,BOM533181
7,HOV Services,102.85,0.002983219138547252,BOM532761
8,Excel Realty,34.33,0.000995759971087284,BOM533090
9,Jupiter Infomed,23.95,0.0006946825315333659,BOM534623
10,United Interact,6.73,0.00019520724163755963,BOM502893
