,Company Name,Market_Cap,weights,index
0,United Spirits,49662.12,0.47125831321208245,BOM532432
1,United Brewerie,38206.54,0.3625529798983603,BOM507458
2,United Brewerie,38206.54,0.3625529798983603,BOM532478
3,Radico Khaitan,11528.03,0.10939283245375515,BOM532497
4,Globus Spirits,2029.2,0.0192556694955825,BOM533104
5,Tilaknagar Ind,568.5,0.005394661989078776,BOM507205
6,Som Distillerie,370.43,0.0035151181013446807,BOM507514
7,Jagatjit Ind,355.34,0.003371924698679423,BOM507155
8,Khoday India,230.57,0.002187945848411422,BOM507435
9,Pioneer Distill,178.53,0.0016941231396837887,BOM531879
10,Ravi Kumar Dist,45.5,0.00043176274494825735,BOM533294
11,Winsome Brew,27.53,0.00026124018392144013,BOM526471
12,Silver Oak,10.86,0.00010305370132171592,BOM512197
13,Silver Oak,10.86,0.00010305370132171592,BOM531635
