,Company Name,Market_Cap,weights,index
0,Polycab,28213.52,0.4895546649467587,BOM542652
1,Sterlite Techno,11894.5,0.20639069361813844,BOM532374
2,Finolex Cables,8032.37,0.13937588092795214,BOM500144
3,KEI Industries,6458.81,0.11207182108098439,BOM517569
4,Universal Cable,650.54,0.011288024030126846,BOM504212
5,Precision Wires,505.56,0.008772363618948764,BOM523539
6,Paramount Comm,351.47,0.0060986285330166985,BOM530555
7,Birla Cable,331.5,0.005752113576393534,BOM500060
8,Salzer Electro,276.34,0.004794989640122441,BOM517059
9,Aksh Optifibre,183.04,0.0031760689864949398,BOM532351
10,Dynamic Cables,113.04,0.0019614447018869536,BOM540795
11,Surana Telecom,89.74,0.0015571483328674382,BOM517530
12,CMI,89.11,0.0015462167143059664,BOM517330
13,Cords Cable Ind,82.61,0.0014334301735923676,BOM532941
14,Delton Cables,44.02,0.0007638251572634794,BOM504240
15,Diamond Power,24.27,0.0004211275912490832,BOM522163
16,Relicab Cable M,22.05,0.00038260664965151565,BOM539760
17,Cybele Ind,8.39,0.00014558139639801434,BOM531472
