,Company Name,Market_Cap,weights,index
0,Cerebra Int,690.16,0.18909529289276122,BOM532413
1,Control Print,620.61,0.1700394542166694,BOM522295
2,HCL Info,506.98,0.13890624143788702,BOM500179
3,TVS Electronics,345.03,0.09453394706559262,BOM532513
4,Ducon Infratech,274.73,0.07527261767768097,BOM534674
5,Compuage Info,188.43,0.05162748643761302,BOM532456
6,Accel,83.23,0.02280398925968546,BOM517494
7,Accel,83.23,0.02280398925968546,BOM532268
8,MRO-TEK,64.65,0.01771329935886898,BOM532376
9,PCS,20.34,0.0055729081045536736,BOM517119
10,ACI Infocom,11.05,0.0030275631541454326,BOM517356
11,VXL Instruments,9.53,0.0026111019781905856,BOM517399
