,Company Name,Market_Cap,weights,index
0,PNC Infratech,8183.6,0.1276182194828777,BOM539150
1,KNR Construct,7645.36,0.11922469701666916,BOM532942
2,Rail Vikas,6328.04,0.09868190009487626,BOM542649
3,NCC,5384.95,0.08397499034707491,BOM500294
4,NCC,5384.95,0.08397499034707491,BOM519506
5,NCC,5384.95,0.08397499034707491,BOM531452
6,Ashoka Buildcon,2944.79,0.045922192745366755,BOM533271
7,Man Infra,1631.03,0.025434911838696662,BOM533169
8,ITD Cementation,1538.36,0.023989780063013798,BOM509496
9,Ramky Infra,1280.16,0.01996330952798288,BOM533262
10,Sadbhav Infra,1086.61,0.016945016065336736,BOM539346
11,Patel Eng,824.28,0.012854140715008849,BOM531120
12,Gayatri Project,789.98,0.012319253265932318,BOM532767
13,Man Industries,719.78,0.01122452734974653,BOM513269
14,Man Industries,719.78,0.01122452734974653,BOM513534
15,Shriram EPC,486.74,0.0075904115732802055,BOM532945
16,Soril Infra Res,419.9,0.006548082794963138,BOM532679
17,Simplex Infra,277.71,0.004330717011167452,BOM523838
18,GPT Infra,273.7,0.004268183522222937,BOM533761
19,MBL Infra,242.51,0.003781794614447513,BOM533152
20,RPP Infra Proj,213.45,0.003328621749428154,BOM533284
21,Gammon Infra,210.03,0.0032752889483832056,BOM532959
22,Atlanta,126.33,0.0019700388175463044,BOM526843
23,Atlanta,126.33,0.0019700388175463044,BOM530479
24,Atlanta,126.33,0.0019700388175463044,BOM532759
25,Noida Toll,120.1,0.0018728857910813835,BOM532481
26,Tarmat,119.04,0.0018563557416347036,BOM532869
27,Shristi Infra,115.55,0.0018019313335508231,BOM511411
28,Punj Lloyd,77.86,0.0012141789150174566,BOM532693
29,ARSS Infra,75.72,0.0011808069283986875,BOM533163
30,Madhucon Proj,52.47,0.0008182374476106595,BOM531497
31,SPML Infra,42.88,0.0006686872832770169,BOM500402
32,Tantia Const,26.59,0.00041465473093134044,BOM532738
33,Setubandhan Inf,21.49,0.00033512336095203106,BOM533605
34,Conart Engineer,13.13,0.00020475429173104554,BOM522231
35,Kaushalya Infra,9.8,0.00015282498545043764,BOM532925
36,C & C Construct,9.54,0.00014877044502011988,BOM532813
37,Vaghani Techno,5.31,8.280619109610447e-05,BOM531676
38,Shelter Infra,4.39,6.845935572728787e-05,BOM526839
