,Company Name,Market_Cap,weights,index
0,Anant Raj,2018.46,0.03180193140887791,BOM515055
1,PSP Projects,1727.82,0.027222740667086503,BOM540544
2,Capacite Infra,1600.2,0.02521201839049891,BOM540710
3,TARC,1327.93,0.02092225695618999,BOM524408
4,TARC,1327.93,0.02092225695618999,BOM524542
5,TARC,1327.93,0.02092225695618999,BOM524582
6,TARC,1327.93,0.02092225695618999,BOM531616
7,Karda Construct,1144.82,0.018037259651175454,BOM541161
8,Vascon Engineer,397.97,0.006270233070158012,BOM533156
9,GeeCee Ventures,379.34,0.005976707321742191,BOM532764
10,Raja Bahadur,308.5,0.004860584722827717,BOM503127
11,Nila Infra,259.97,0.004095968267077866,BOM530377
12,PVP Ventures,194.82,0.003069494702435319,BOM517556
13,AGI Infra,161.14,0.0025388480461473527,BOM539042
14,Bigbloc Constru,150.78,0.002375620630495829,BOM540061
15,TCI Developers,140.95,0.0022207436521314967,BOM533393
16,Poddar Housing,133.89,0.0021095095252492806,BOM523628
17,Ratnabhumi Deve,104.81,0.0016513383623973194,BOM540796
18,Shervani Indust,81.6,0.001285652231386521,BOM526117
19,Variman Global,72.75,0.0011462156842324681,BOM540570
20,Supreme Holding,70.6,0.0011123412688221616,BOM530677
21,RDB Realty,59.8,0.0009421814146680632,BOM533285
22,Maruti Infra,48.81,0.0007690280075242169,BOM531540
23,Shri Krishna,43.82,0.0006904078526882028,BOM531080
24,Shri Krishna,43.82,0.0006904078526882028,BOM537954
25,Vivid Mercant,28.77,0.0004532869448160565,BOM542046
26,ETT,26.8,0.0004222485269749849,BOM507815
27,ETT,26.8,0.0004222485269749849,BOM511658
28,ETT,26.8,0.0004222485269749849,BOM526691
29,ETT,26.8,0.0004222485269749849,BOM531328
30,ETT,26.8,0.0004222485269749849,BOM533200
31,ETT,26.8,0.0004222485269749849,BOM537707
32,HB Estate Dev,25.16,0.000396409438010844,BOM532334
33,Real Eco-Energy,24.86,0.00039168277539545235,BOM530053
34,Rodium Realty,20.14,0.00031731661691329085,BOM531822
35,BSEL Infra,16.85,0.0002654808835644961,BOM532123
36,KCL Infra,14.9,0.00023475757656445052,BOM531784
37,Grovy India,9.14,0.0001440056543489314,BOM539522
38,MPDL,9.1,0.0001433754326668792,BOM532723
39,Sri Krishna Con,6.7,0.00010556213174374622,BOM539363
40,PVV Infra,5.04,7.940793193857924e-05,BOM536659
41,Crane Infra,5.03,7.925037651806618e-05,BOM538770
42,Unishire Urban,4.02,6.333727904624772e-05,BOM537582
43,Rajeswari Infra,3.98,6.270705736419551e-05,BOM526823
44,Franklin Ind,3.92,6.176172484111719e-05,BOM540190
45,Ishaan Infrastr,2.62,4.127952017442016e-05,BOM540134
46,MD,2.16,3.403197083081968e-05,BOM511092
47,MD,2.16,3.403197083081968e-05,BOM526371
48,MD,2.16,3.403197083081968e-05,BOM532741
49,MD,2.16,3.403197083081968e-05,BOM532828
