,Company Name,Market_Cap,weights,index
0,DLF,82663.03,0.28614044439312114,BOM532868
1,Godrej Prop,43383.32,0.15017260393248325,BOM533150
2,Oberoi Realty,25395.8,0.08790828859913344,BOM533273
3,Phoenix Mills,15111.57,0.05230913209058218,BOM503100
4,Prestige Estate,14000.09,0.048461712256902406,BOM533274
5,NBCC (India),9063.0,0.0313718339085182,BOM534309
6,Dilip Buildcon,8264.07,0.02860631484589738,BOM540047
7,Indiabulls Real,7731.56,0.026763016238965348,BOM532832
8,Brigade Ent,7271.95,0.02517206306863609,BOM532929
9,Sobha,5723.0,0.019810328308336053,BOM512014
10,Sobha,5723.0,0.019810328308336053,BOM532784
11,Sunteck Realty,5536.64,0.01916523783418936,BOM512179
12,Mahindra Life,3701.68,0.012813471272479712,BOM532313
13,Ahluwalia,2583.71,0.008943586118037907,BOM532811
14,Puravankara,2537.5,0.008783628880377902,BOM532891
15,JMC Projects,2039.21,0.007058783782918392,BOM522263
16,Kolte-Patil,1738.6,0.006018213663615771,BOM532924
17,Ashiana Housing,1650.94,0.005714776064540333,BOM523716
18,Omaxe,1625.99,0.005628410925401247,BOM532880
19,Welspun Enter,1618.15,0.005601272540998425,BOM532553
20,Ajmera Realty,1092.93,0.0037832084777266683,BOM513349
21,Parsvnath,810.74,0.002806399715656189,BOM532780
22,DB Realty,658.02,0.0022777550643807948,BOM533285
23,Eldeco Housing,589.05,0.002039013435265656,BOM523329
24,Ganesh Housing,565.97,0.001959121354651224,BOM526367
25,Prozone Intu,486.8,0.0016850721335834335,BOM534675
26,Vipul,476.34,0.001648864544188851,BOM511726
27,Vipul,476.34,0.001648864544188851,BOM530627
28,Unitech,476.17,0.0016482760843229737,BOM507878
29,Unitech,476.17,0.0016482760843229737,BOM531867
30,Arvind Smart,474.46,0.0016423568703779702,BOM539301
31,Peninsula Land,406.52,0.001407180615744325,BOM503031
32,Arihant Super,377.85,0.0013079385901283904,BOM506194
33,Jaypee Infra,270.84,0.0009375204122015964,BOM533207
34,Emami Realty,229.1,0.0007930362074855477,BOM533218
35,Hubtown,216.39,0.000749040178689645,BOM532799
36,Prajay Engineer,149.59,0.0005178100666860022,BOM531746
37,Ansal Propertie,139.46,0.0004827447817369467,BOM500013
38,AMJ Land,137.15,0.0004747486506182578,BOM500343
39,Ritesh Prop,113.59,0.0003931950362648772,BOM526407
40,Bhagyanagar Pro,95.83,0.00033171828792378887,BOM540621
41,Landmark Prop,85.18,0.0002948530080908728,BOM533012
42,Navkar Builders,71.08,0.00024604545450926553,BOM531494
43,Ansal Buildwell,56.78,0.00019654559520309645,BOM523007
44,Croissance,56.55,0.00019574944361985038,BOM531909
45,Ansal Housing,50.42,0.00017453027316203105,BOM507828
46,Manjeera Const,49.85,0.00017255720184702992,BOM533078
47,Garnet Construc,46.29,0.0001602341599498298,BOM526727
48,Lancor Holdings,43.74,0.00015140726196166676,BOM509048
49,NEL HOLDINGS SO,39.96,0.00013832268376744866,BOM533202
50,Nimbus Projects,34.36,0.00011893812347971811,BOM511714
51,Radhe Developer,30.87,0.00010685738858611462,BOM531273
52,Alchemist Real,28.68,9.927664090216285e-05,BOM532114
53,Simplex Realty,25.83,8.941128432715712e-05,BOM503229
54,Prime Property,24.69,8.546514169715485e-05,BOM530695
55,Prerna Infra,23.0,7.961515832460758e-05,BOM531802
56,Arihant Found,22.53,7.798823987188734e-05,BOM531381
57,Tirupati Sarjan,21.94,7.594593798443001e-05,BOM531814
58,Satra Prop,21.58,7.469978768021876e-05,BOM508996
59,Hazoor,21.57,7.466517239399068e-05,BOM532467
60,SSPDL,19.39,6.7119039996267e-05,BOM530821
61,Martin Burn Ltd,19.35,6.698057885135465e-05,BOM523566
62,Narendra Prop,12.51,4.330372307134091e-05,BOM531416
63,Ladam Affordabl,11.53,3.991142502098806e-05,BOM540026
64,Citadel Realty,10.4,3.5999897677213865e-05,BOM502445
65,Kamanwala,9.87,3.416528750712508e-05,BOM511131
66,Neo Infracon,9.82,3.399221107598463e-05,BOM514332
67,Rainbow Foundat,9.32,3.226144676458012e-05,BOM531694
68,Quantum Build,8.52,2.9492223866332896e-05,BOM538596
69,Rap Media,7.94,2.7484537265103662e-05,BOM531583
70,Sikozy Realtors,5.88,2.0353788302117068e-05,BOM524642
71,Rander Corp,5.66,1.9592252005099085e-05,BOM531228
72,Jainco Projects,5.0,1.7307643114045127e-05,BOM526865
73,Sterling Green,4.99,1.727302782781704e-05,BOM526500
74,KMF Builders,3.96,1.3707653346323741e-05,BOM531578
75,Epsom Prop,3.43,1.1873043176234958e-05,BOM531155
76,Patidar Build,2.96,1.0246124723514716e-05,BOM524031
77,Bronze Infra,0.81,2.8038381844753106e-06,BOM534731
