,Company Name,Market_Cap,weights,index
0,Nestle,174223.2,0.353915211094703,BOM500790
1,Britannia,82930.95,0.16846507626730686,BOM500825
2,Jubilant Food,47107.01,0.09569269413138023,BOM533155
3,Hatsun Agro,20210.93,0.041056274694588696,BOM531531
4,Zydus Wellness,14108.2,0.02865925193181097,BOM531335
5,Godrej Agrovet,12516.13,0.025425137358507616,BOM540743
6,Tasty Bite,4752.22,0.009653610681404483,BOM519091
7,Hindustan Foods,4213.97,0.008560215184296612,BOM519126
8,Heritage Foods,2144.05,0.0043554010507647544,BOM519552
9,DFM Foods,2033.21,0.0041302418182530285,BOM519588
10,ADF Foods,1780.42,0.0036167268201779735,BOM519183
11,Prataap Snacks,1770.7,0.0035969817124550034,BOM540724
12,Future Consumer,1754.56,0.0035641950829643928,BOM533400
13,Parag Milk Food,1322.39,0.002686289403475107,BOM539889
14,Gulshan Poly,1200.84,0.0024393739874538126,BOM532457
15,KSE,840.0,0.0017063673340838102,BOM519421
16,Vadilal Ind,756.16,0.0015360556230247784,BOM519156
17,IFB Agro,564.18,0.0011460694315992904,BOM507438
18,Sukhjit Starch,370.47,0.0007525689360214634,BOM524542
19,Amrit Corp,239.66,0.0004868428515315785,BOM507525
20,Bambino Agro,228.29,0.0004637459508309441,BOM519295
21,Umang Dairies,193.74,0.0003935614372683303,BOM500231
22,Milkfood,179.58,0.00036479695935091747,BOM507621
23,Sheetal Cool Pr,147.0,0.0002986142834646668,BOM540757
24,Vadilal Enter,143.2,0.00029089500266762095,BOM519152
25,Flex Foods,141.93,0.00028831513776966095,BOM523672
26,Freshtrop Fruit,132.26,0.0002686715995308628,BOM530077
27,MSR India,97.09,0.0001972276243645204,BOM508922
28,Gayatri Bio,95.96,0.000194932154022241,BOM524564
29,Virat Crane,74.55,0.00015144010089993814,BOM519457
30,Anik Industries,66.33,0.00013474207770211802,BOM519383
31,Chordia Food,61.23,0.00012438199031660917,BOM519475
32,Oceanic Foods,56.14,0.00011404221682793465,BOM540405
33,Tasty Dairy Spe,55.16,0.0001120514549381702,BOM540955
34,Tirupati Starch,40.6,8.247442114738416e-05,BOM524582
35,Lotus Chocolate,36.85,7.485670983451001e-05,BOM523475
36,Megastar Foods,33.82,6.87015990937077e-05,BOM541352
37,Saboo Sodium,33.18,6.740150969631051e-05,BOM530461
38,Modern Dairies,32.2,6.541074780654607e-05,BOM519287
39,Prima Agro,26.62,5.407559337298932e-05,BOM519262
40,Nakoda Group,23.91,4.85705273308856e-05,BOM541418
41,Jhandewalas Foo,9.75,1.9806049413472798e-05,BOM540850
42,Mahaan Foods,8.51,1.7287126206015743e-05,BOM519612
43,Sampre Nutritio,7.81,1.586515342761257e-05,BOM530617
44,Spectrum Foods,7.25,1.4727575204890029e-05,BOM531982
45,Oceanaa Biotek,5.56,1.1294526639888077e-05,BOM538019
46,Tricom Fruit,4.85,9.85223996465057e-06,BOM531716
47,Kore Foods,3.45,7.008294407844221e-06,BOM500458
48,Gold Coin Healt,2.25,4.570626787724492e-06,BOM538542
49,Transglobe,1.96,3.981523779528891e-06,BOM519367
50,Shah Foods,1.66,3.3721068744989583e-06,BOM519031
