,Company Name,Market_Cap,weights,index
0,Titan Company,150981.35,0.7685030678512714,BOM500114
1,Rajesh Exports,17167.89,0.08738546935454719,BOM531500
2,Vaibhav Global,12794.68,0.06512559883836848,BOM532156
3,Asian Star,1408.76,0.007170663011465701,BOM531847
4,Goldiam Inter,1279.6,0.0065132317708278984,BOM526729
5,PC Jeweller,1198.42,0.006100021271331331,BOM534809
6,Thangamayil,1153.82,0.005873004909203381,BOM533158
7,Renaissance,1028.55,0.005235373974589743,BOM532923
8,Tribhovandas,559.87,0.0028497679521205187,BOM534369
9,Uday Jewellery,324.82,0.0016533510032825244,BOM539518
10,Atlas Jewellery,289.38,0.0014729595262911671,BOM514394
11,Kanani Ind,124.06,0.0006314719705290006,BOM506184
12,Ashapuri Gold,109.37,0.0005566990925097275,BOM542579
13,Radhika Jewel,103.49,0.0005267695810901682,BOM540125
14,Narbada Gems,47.06,0.00023953789241572441,BOM519455
15,Goenka Diamond,40.89,0.0002081322656370372,BOM533189
16,Darshan Orna,40.02,0.00020370391955965345,BOM539884
17,Golkunda Diamon,37.78,0.00019230220092363086,BOM523676
18,Palm Jewels,35.65,0.00018146038811348437,BOM541444
19,Bhakti Gems,18.85,9.594749834331503e-05,BOM540545
20,Lypsa Gems,16.86,8.581829294791996e-05,BOM534532
21,Orosil Smiths,14.63,7.446747484152248e-05,BOM531626
22,Sovereign Diam,5.3,2.6977280701303428e-05,BOM523826
23,Neogem India,3.57,1.8171489076160988e-05,BOM526195
24,Mini Diamonds,1.47,7.482377854889818e-06,BOM523373
