,Company Name,Market_Cap,weights,index
0,Grasim,101952.71,0.26862389520326346,BOM500300
1,Piramal Enter,53788.83,0.1417222262461307,BOM500302
2,SRF,46862.96,0.12347401904230625,BOM503806
3,SRF,46862.96,0.12347401904230625,BOM533102
4,3M India,27394.34,0.07217831009418552,BOM523395
5,DCM Shriram,14904.96,0.03927142704739122,BOM523367
6,DCM Shriram,14904.96,0.03927142704739122,BOM523369
7,Linde India,14285.11,0.03763825298618439,BOM523457
8,Birla Corp,11344.81,0.02989118241722986,BOM500335
9,Century,7870.08,0.020736001477168184,BOM500040
10,Century,7870.08,0.020736001477168184,BOM500083
11,Century,7870.08,0.020736001477168184,BOM500280
12,Century,7870.08,0.020736001477168184,BOM526921
13,Century,7870.08,0.020736001477168184,BOM532548
14,Century,7870.08,0.020736001477168184,BOM539252
15,Prism Johnson,7175.35,0.018905534403614543,BOM500338
16,Surya Roshni,2949.24,0.007770625584050415,BOM500336
17,Balmer Lawrie,2343.61,0.006174918224707517,BOM523319
18,Balmer Lawrie,2343.61,0.006174918224707517,BOM532485
19,S H Kelkar,2282.33,0.006013458344945066,BOM539450
20,Kesoram,1512.14,0.00398417008133146,BOM502937
21,Andrew Yule,1398.4,0.0036844891622031784,BOM526173
22,Texmaco Infra,815.53,0.002148749604155862,BOM505400
23,Manaksia,464.96,0.0012250715681192718,BOM532932
24,Manaksia,464.96,0.0012250715681192718,BOM539044
25,Manaksia,464.96,0.0012250715681192718,BOM539045
26,Manaksia,464.96,0.0012250715681192718,BOM539046
27,Oricon Ent,437.38,0.0011524040830695266,BOM513121
28,Kesar Ent,141.12,0.0003718214463459043,BOM507180
29,Kaira Can,125.69,0.00033116664959762404,BOM504840
30,Gillanders Arbu,119.52,0.00031491000047663317,BOM532716
31,Beardsell,38.78,0.00010217712364862647,BOM539447
32,Swasti Vinayaka,18.76,4.9428644653126164e-05,BOM510245
33,Swasti Vinayaka,18.76,4.9428644653126164e-05,BOM512257
34,HCKK Ventures,14.19,3.738765818911835e-05,BOM539224
35,Mitshi India,14.04,3.699243981502619e-05,BOM523782
36,Panth Infinity,12.07,3.180190516861582e-05,BOM539143
37,Majestic Resear,7.89,2.0788486477247623e-05,BOM539229
38,BNR Udyog,4.67,1.2304465380069253e-05,BOM530809
39,Jatalia Global,1.57,4.13661898216461e-06,BOM519319
