,Company Name,Market_Cap,weights,index
0,Whirlpool,27850.9,0.2726841395580722,BOM500238
1,TTK Prestige,12922.99,0.12652712869844676,BOM517506
2,Bajaj Electric,12842.92,0.12574317489248663,BOM500031
3,Symphony,7478.4,0.07321993433860617,BOM517385
4,IFB Industries,4213.95,0.041258175853948635,BOM505726
5,Hawkins Cooker,3093.5,0.030288011723962106,BOM508486
6,Butterfly,1319.51,0.012919131840919747,BOM517421
7,PG Electroplast,789.64,0.007731251196932095,BOM533581
8,Singer India,342.97,0.00335796973685705,BOM505729
9,Viaan Ind,12.24,0.00011984007224868149,BOM537524
10,Gorani Ind,11.9,0.00011651118135288479,BOM531608
