,Company Name,Market_Cap,weights,index
0,Havells India,71639.68,0.3139969269889891,BOM517354
1,Siemens,70260.75,0.3079530727655626,BOM500550
2,ABB India,35939.66,0.15752363490497298,BOM500002
3,V-Guard Ind,10817.09,0.047411337110429934,BOM532953
4,CG Power,10402.43,0.0455938811175325,BOM500093
5,Suzlon Energy,6510.56,0.02853580352365384,BOM532667
6,GE T&D India,3479.67,0.015251403788176831,BOM522275
7,Apar Ind,2345.1,0.010278580159513254,BOM506142
8,Apar Ind,2345.1,0.010278580159513254,BOM532259
9,Inox Wind,2330.14,0.010213010435754644,BOM539083
10,Igarashi Motors,1710.04,0.007495110321936824,BOM517380
11,Elpro Int,958.4,0.004200670003359133,BOM504000
12,Bharat Bijlee,765.79,0.0033564598099670184,BOM503960
13,HPL Electric &,536.91,0.002353278100483673,BOM540136
14,Shivalik Bimeta,516.33,0.0022630759002863327,BOM513097
15,Transformers,457.35,0.0020045663877674247,BOM530513
16,Transformers,457.35,0.0020045663877674247,BOM532757
17,Transformers,457.35,0.0020045663877674247,BOM532928
18,Permanent Magne,292.35,0.0012813709051356873,BOM504132
19,Modison Metals,282.32,0.0012374093857975277,BOM506261
20,Hind Rectifiers,260.05,0.0011397999106568684,BOM504036
21,Indo Tech Trans,259.18,0.0011359866981120828,BOM532717
22,Veto Switch,244.48,0.0010715565551139825,BOM539331
23,Majestic Auto,164.18,0.0007196014202332038,BOM500267
24,G G Engineering,134.29,0.0005885934628037333,BOM540614
25,Marsons,128.63,0.0005637856662480022,BOM517467
26,Artemis,112.21,0.0004918167582188318,BOM542670
27,Artemis,112.21,0.0004918167582188318,BOM542919
28,Lakshmi Elec,106.91,0.0004685868427161153,BOM504258
29,Rishiroop,92.16,0.00040393754957176304,BOM523658
30,Rishiroop,92.16,0.00040393754957176304,BOM526492
31,Shilchar Techno,82.75,0.0003626934920471288,BOM531201
32,Rexnord Electro,71.65,0.0003140421595791756,BOM531888
33,Delta,58.49,0.00025636184108563824,BOM504286
34,Delta,58.49,0.00025636184108563824,BOM532848
35,Delta,58.49,0.00025636184108563824,BOM535486
36,Delta,58.49,0.00025636184108563824,BOM539596
37,Mehai Technolog,58.32,0.0002556167305883813,BOM540730
38,Ujaas Energy,56.48,0.00024755200520630615,BOM533644
39,RTS Power Corp,53.86,0.00023606853754269919,BOM531215
40,Waa Solar,51.74,0.00022677657134161265,BOM541445
41,Precision Elec,41.55,0.00018211377153544656,BOM517258
42,Calcom Vision,38.59,0.0001691400828773257,BOM517236
43,Dynavision,32.16,0.00014095737406931314,BOM517238
44,Jyoti,29.44,0.00012903560611320208,BOM504076
45,Jyoti,29.44,0.00012903560611320208,BOM512067
46,Jyoti,29.44,0.00012903560611320208,BOM513250
47,Jyoti,29.44,0.00012903560611320208,BOM514448
48,Jyoti,29.44,0.00012903560611320208,BOM521022
49,Jyoti,29.44,0.00012903560611320208,BOM523876
50,Jyoti,29.44,0.00012903560611320208,BOM526285
51,Jyoti,29.44,0.00012903560611320208,BOM530881
52,Jyoti,29.44,0.00012903560611320208,BOM539246
53,Kaycee Ind,26.35,0.00011549212707482592,BOM504084
54,Star Delta Tran,25.5,0.0001117665745885412,BOM539255
55,Star Delta Tran,25.5,0.0001117665745885412,BOM590129
56,Sam Ind,24.06,0.0001054550503764824,BOM532005
57,Aplab,20.9,9.160476113335338e-05,BOM517096
58,Jiya Eco,17.74,7.775447189022435e-05,BOM539225
59,RMC Switchgears,14.62,6.407950276409695e-05,BOM540358
60,IMP Powers,12.07,5.290284530524284e-05,BOM517571
61,Alfa Transforme,9.64,4.225214819739362e-05,BOM517546
62,Tarapur Trans,9.63,4.220831816814321e-05,BOM533203
63,Starlite Compo,4.29,1.8803082548425167e-05,BOM517548
64,Silver Oak Comm,0.94,4.1200227495383815e-06,BOM512197
