,Company Name,Market_Cap,weights,index
0,Olectra Greente,1992.92,0.4233238950760336,BOM532439
1,Centum Electron,639.15,0.13576433953086267,BOM517544
2,Hindusthan Urba,548.91,0.11659610985196875,BOM539984
3,Swelect Energy,384.2,0.08160941758234755,BOM532051
4,Apollo Micro Sy,244.29,0.05189058985213869,BOM540879
5,BPL,215.09,0.0456881041847661,BOM500074
6,Websol Energy,213.33,0.045314255733582005,BOM517498
7,Indosolar,113.11,0.02402613540536005,BOM533257
8,SPEL Semiconduc,93.53,0.019867071385936925,BOM517166
9,Surana Solar,71.01,0.015083510521922177,BOM533298
10,Cosmo Ferrites,68.51,0.01455247579012658,BOM523100
11,BCC Fuba,28.34,0.006019809719634903,BOM517246
12,Incap,12.4,0.002633932269706168,BOM511734
13,Incap,12.4,0.002633932269706168,BOM512113
14,Incap,12.4,0.002633932269706168,BOM517370
15,Incap,12.4,0.002633932269706168,BOM531252
16,Incap,12.4,0.002633932269706168,BOM535267
17,Incap,12.4,0.002633932269706168,BOM539265
18,Switching Tech,10.62,0.002255835540667702,BOM517201
19,Fine-line Circ,9.83,0.0020880285654202926,BOM517264
