,Company Name,Market_Cap,weights,index
0,Bharat Elec,44492.19,0.2439705527944877,BOM500049
1,AIA Engineering,19034.32,0.10437367934613181,BOM532683
2,Thermax,17068.54,0.09359442947615806,BOM500411
3,Praj Industries,6699.46,0.036736131883473445,BOM522205
4,GMM Pfaudler,6682.24,0.03664170693115887,BOM505255
5,BEML,5364.23,0.029414469335332212,BOM500048
6,HLE Glascoat,4714.12,0.025849625795888002,BOM522215
7,NESCO,4241.69,0.02325908106755029,BOM505355
8,Triveni Turbine,4159.33,0.022807464396665943,BOM533655
9,Greaves Cotton,3903.93,0.021406992107400966,BOM501455
10,Kirloskar Oil,3885.77,0.021307412715180718,BOM533293
11,Ion Exchange,3713.23,0.020361298820154177,BOM500214
12,Action Const,2796.23,0.015332978188768193,BOM532762
13,Balu Forge Indu,1891.2,0.010370294414478926,BOM531112
14,Genus Power,1744.15,0.009563953576043475,BOM530343
15,Kirloskar Ind,1647.62,0.009034636465304445,BOM500243
16,Elecon Eng,1567.99,0.008597989603933381,BOM505700
17,Everest Kanto,1054.75,0.005783665415435515,BOM532684
18,Skipper,963.56,0.00528362991011808,BOM538562
19,Salasar Techno,930.11,0.005100208617730009,BOM540642
20,Disa India,799.96,0.004386538028662522,BOM500068
21,United Drilling,757.0,0.004150969158079815,BOM522014
22,Kabra Extrusion,741.41,0.004065482223899545,BOM524109
23,Bajaj Steel,684.27,0.0037521580789950794,BOM507944
24,Yuken India,651.06,0.003570052813816967,BOM522108
25,Axtel Ind,544.34,0.0029848593811217525,BOM523850
26,Hercules Hoists,537.76,0.002948778301782036,BOM505720
27,Mahindra EPC,415.5,0.0022783721072419595,BOM523754
28,Lloyds Steels,313.65,0.0017198830600155006,BOM539992
29,Gujarat Apollo,282.96,0.001551596080541961,BOM522217
30,Eimco Elecon,276.33,0.0015152408288668367,BOM523708
31,Walchandnagar,264.4,0.0014498233096384453,BOM507410
32,Windsor,256.48,0.00140639441170979,BOM522029
33,Mazda,245.01,0.0013434992779671538,BOM523792
34,DHP,220.64,0.0012098676816892078,BOM531306
35,Sika Interplant,205.37,0.0011261354504555504,BOM523606
36,Rajoo Engineers,199.97,0.001096524838231467,BOM522257
37,TIL,181.7,0.000996342266873319,BOM500040
38,TIL,181.7,0.000996342266873319,BOM500085
39,TIL,181.7,0.000996342266873319,BOM500645
40,TIL,181.7,0.000996342266873319,BOM500670
41,TIL,181.7,0.000996342266873319,BOM500690
42,TIL,181.7,0.000996342266873319,BOM502216
43,TIL,181.7,0.000996342266873319,BOM502873
44,TIL,181.7,0.000996342266873319,BOM502986
45,TIL,181.7,0.000996342266873319,BOM503663
46,TIL,181.7,0.000996342266873319,BOM504390
47,TIL,181.7,0.000996342266873319,BOM504998
48,TIL,181.7,0.000996342266873319,BOM505196
49,TIL,181.7,0.000996342266873319,BOM505513
50,TIL,181.7,0.000996342266873319,BOM506190
51,TIL,181.7,0.000996342266873319,BOM506640
52,TIL,181.7,0.000996342266873319,BOM506808
53,TIL,181.7,0.000996342266873319,BOM507205
54,TIL,181.7,0.000996342266873319,BOM507514
55,TIL,181.7,0.000996342266873319,BOM507794
56,TIL,181.7,0.000996342266873319,BOM507872
57,TIL,181.7,0.000996342266873319,BOM512014
