,Company Name,Market_Cap,weights,index
0,L&T Technology,36683.21,0.6668629389357523,BOM540115
1,ISGEC Heavy Eng,5733.46,0.10422839184113328,BOM533033
2,Kennametal,2780.25,0.050542078677850856,BOM505890
3,Pitti Engineeri,514.24,0.009348353039941741,BOM513519
4,Alphageo,197.85,0.003596709024876465,BOM526397
5,Pritika Auto,164.04,0.002982078081580669,BOM539359
6,Mangal Credit,118.01,0.0021453001365967735,BOM505850
7,Lokesh Machines,78.75,0.0014315938120243702,BOM532740
8,Likhami Consult,64.48,0.0011721799238010335,BOM539927
9,Sharika Enter,45.03,0.000818598975942316,BOM540786
10,Artefact,35.94,0.0006533521473543601,BOM531297
11,Dhruv Consultan,34.45,0.0006262654834824071,BOM541302
12,Tarini Int,24.05,0.00043720420544998223,BOM538496
13,DRA Consultants,16.67,0.000303043413923127,BOM540144
14,Lippi System,11.18,0.0002032408738848566,BOM526604
15,GTV Engineering,7.84,0.00014252311728598174,BOM539479
