,Company Name,Market_Cap,weights,index
0,PVR,8022.13,0.3245364952001983,BOM532689
1,Saregama India,5808.43,0.2349809233726813,BOM532163
2,INOX Leisure,3637.75,0.14716573222006143,BOM532706
3,Prime Focus,1838.88,0.07439217144246486,BOM532748
4,Tips Industries,1593.85,0.06447944534367257,BOM532375
5,Media Matrix,869.95,0.03519396020750256,BOM512267
6,Balaji Telefilm,737.24,0.02982515687496889,BOM532382
7,Shemaroo Ent,376.07,0.015213969326094014,BOM538685
8,UFO Moviez,292.16,0.011819377451835105,BOM539141
9,Cineline India,131.88,0.005335225555681864,BOM532807
10,GV Films,111.58,0.0045139859531618315,BOM523277
11,THINKINK PICTUR,107.25,0.0043388151413927805,BOM539310
12,Jump Networks,103.96,0.004205717688570568,BOM531337
13,Baba Arts,103.95,0.004205313137042234,BOM532380
14,Cinevista,92.19,0.003729560539720284,BOM532324
15,Pooja Entertain,83.08,0.003361014097407107,BOM532011
16,Mukta Arts,81.65,0.0033031632288552035,BOM532357
17,Galaxy Cloud,77.65,0.003141342617521207,BOM506186
18,Imagicaaworld,75.91,0.003070950651590918,BOM539056
19,Pritish Nandy,57.87,0.002341139694474594,BOM532387
20,Sahara One,56.5,0.0022857161350927,BOM503691
21,Shalimar Prod,48.23,0.0019511520211596624,BOM512499
22,Purple Entertai,26.8,0.0010841980959377764,BOM540159
23,Nouveau Global,22.89,0.0009260184483587949,BOM531465
24,Vision Cinemas,11.54,0.0004668524636985798,BOM526441
25,Unistar Multime,10.76,0.0004352974444884505,BOM532035
26,Radaan Media,7.04,0.0002848042759478338,BOM590070
27,Luharuka Media,6.75,0.0002730722816261191,BOM512048
28,Picturehouse,6.48,0.00026214939036107434,BOM532355
29,Kome-On Communi,5.13,0.00020753493403585048,BOM539910
30,Vision Corp,4.15,0.00016788888425902135,BOM531668
31,Sungold Capital,2.82,0.00011408353099046751,BOM531433
32,Universal Arts,1.4,5.6637213966898764e-05,BOM532378
