,Company Name,Market_Cap,weights,index
0,Bajaj Finserv,210061.43,0.5047890835381799,BOM532978
1,Nippon,24831.72,0.0596719787229702,BOM532240
2,Nippon,24831.72,0.0596719787229702,BOM537483
3,Nippon,24831.72,0.0596719787229702,BOM538633
4,Nippon,24831.72,0.0596719787229702,BOM538683
5,Nippon,24831.72,0.0596719787229702,BOM540767
6,Nippon,24831.72,0.0596719787229702,BOM590103
7,Nippon,24831.72,0.0596719787229702,BOM590104
8,Nippon,24831.72,0.0596719787229702,BOM590106
9,Nippon,24831.72,0.0596719787229702,BOM590108
10,Nippon,24831.72,0.0596719787229702,BOM590109
11,IIFL Finance,10763.91,0.02586626333157615,BOM532636
12,JM Financial,9754.01,0.02343941850116055,BOM523405
13,Capri Global,9199.0,0.022105699173178613,BOM531595
14,JSW Holdings,5335.81,0.012822242711733687,BOM532642
15,Religare Enterp,5054.45,0.012146119272298361,BOM532915
16,Equitas Holding,4260.41,0.010237997805674736,BOM539844
17,Authum Invest,2233.52,0.005367270487800619,BOM539177
18,Pilani Invest,2186.77,0.005254927685719295,BOM539883
19,Pilani Invest,2186.77,0.005254927685719295,BOM590121
20,Centrum Capital,2046.88,0.0049187643791277135,BOM501150
21,BF Investment,1501.05,0.0036071050922817432,BOM533303
22,Max Ventures an,1303.52,0.0031324297191240116,BOM539940
23,Capital India,1070.01,0.0025712924418189852,BOM530879
24,Rane Holdings,1061.7,0.0025513230581762944,BOM505800
25,Nalwa Sons,930.67,0.0022364508152518904,BOM532256
26,VLS Finance,924.02,0.0022204705022285573,BOM511333
27,Kalyani Invest,897.46,0.002156645372318826,BOM533302
28,Oswal Greentech,731.91,0.0017588196849484896,BOM539290
29,Kiran Vyapar,425.5,0.0010224997280342972,BOM537750
30,Dhunseri Invest,402.6,0.0009674697779238732,BOM533336
31,Max India,395.87,0.0009512972205333425,BOM534711
32,Max India,395.87,0.0009512972205333425,BOM539981
33,Max India,395.87,0.0009512972205333425,BOM590094
34,A.K.Capital Ser,325.38,0.0007819059024860156,BOM530499
35,Systematix Corp,319.31,0.0007673193611248682,BOM526506
36,Oswal Agro,239.74,0.0005761083074005697,BOM500317
37,Paul Merchants,183.65,0.00044132097544888056,BOM539113
38,Apollo Finvest,173.54,0.00041702609354423483,BOM512437
39,Welspun Invest,166.21,0.00039941170339971924,BOM533252
40,Magellanic,153.52,0.00036891694065293847,BOM538891
41,Vibrant Global,151.19,0.00036331782345829704,BOM538732
42,PMC Fincorp,149.66,0.00035964114993563553,BOM534060
43,LKP Finance,144.41,0.0003470251133382676,BOM507912
44,Avonmore Cap,108.25,0.0002601306593647771,BOM511589
45,Aarnav Fashions,100.53,0.0002415790779301713,BOM539562
46,Ganges Securiti,96.09,0.000230909515550683,BOM540647
47,East West,88.2,0.00021194941483578146,BOM540006
48,Narendra Invest,79.63,0.000191355236999697,BOM540204
49,Palash Securiti,75.02,0.00018027715533991298,BOM540648
50,Zodiac Ventures,67.12,0.0001612930240791117,BOM503641
51,Indo Thai Secu,66.05,0.0001587217556678386,BOM533676
52,Wallfort Fin,61.37,0.00014747546018675632,BOM532053
53,Tamboli Capital,56.54,0.0001358687065171778,BOM533170
54,Titan Secu,56.16,0.00013495554577298738,BOM530045
55,Shriram Asset,54.57,0.00013113468897492736,BOM531359
56,Times Guaranty,49.73,0.00011950390475944911,BOM511559
57,Pioneer Invest,47.22,0.00011347223773861224,BOM507864
58,Som Datt Fin,46.39,0.00011147770242893312,BOM511571
59,Tilak Ventures,43.3,0.00010405226374591084,BOM503663
60,Lesha Ind,40.48,9.727564980218177e-05,BOM533602
61,HB Portfolio,36.17,8.69184845193902e-05,BOM532333
62,Zenlabs Ethica,32.06,7.704193015459358e-05,BOM530697
63,Elixir Cap,28.78,6.915991109947608e-05,BOM531278
64,Pan India Corp,28.71,6.899169727817784e-05,BOM511525
65,Ajcon Global,27.03,6.49545655670201e-05,BOM511692
66,Walchand People,26.53,6.375303827203268e-05,BOM501370
67,Sumedha Fiscal,25.91,6.226314442624827e-05,BOM530419
68,Visagar Polytex,24.29,5.8370195990489014e-05,BOM506146
69,CNI Research,23.76,5.709657705780236e-05,BOM512018
70,SKP Securities,21.52,5.1713734776258695e-05,BOM531169
71,Haryana Capfin,21.36,5.1329246041862715e-05,BOM532855
72,Utique,21.27,5.1112971128764984e-05,BOM500014
73,Trio Mercantile,20.92,5.027190202227379e-05,BOM534755
74,Siel Finan,19.89,4.77967557945997e-05,BOM532217
75,Yash Manage,19.04,4.575415939312107e-05,BOM511601
76,IM+ Capitals,18.09,4.3471257532644974e-05,BOM511628
77,Real Touch Fin,17.47,4.1981363686860565e-05,BOM538611
78,Sharp Invest,16.46,3.9554278550985976e-05,BOM538212
79,Odyssey Corp,16.19,3.890545381169277e-05,BOM531996
80,Chartered Cap,14.83,3.563729956932697e-05,BOM511696
81,Karnavati Fin,14.62,3.513265810543225e-05,BOM538928
82,Mefcom Capital,12.09,2.9052929992795893e-05,BOM531176
83,Sagar Product,11.68,2.8067677610906206e-05,BOM532092
84,Svaraj Trading,11.49,2.7611097238810984e-05,BOM503624
85,Escorp Asset Ma,11.01,2.645763103562306e-05,BOM540455
86,Jindal Capital,10.29,2.4727431730841167e-05,BOM530405
87,Econo Trade,9.6,2.3069324063758523e-05,BOM538708
88,Bervin Invest,9.29,2.2324377140866322e-05,BOM531340
89,Dalal Street,8.51,2.0449994560685944e-05,BOM501148
90,Hiliks Tech,8.38,2.0137597463989216e-05,BOM539697
91,Sumeru Ind,8.35,2.0065505826289967e-05,BOM530445
92,Bharat Bhushan,8.06,1.9368619995197263e-05,BOM511501
93,Veerhealth Care,7.42,1.783066505761336e-05,BOM511523
94,Aravali Sec,7.09,1.703765704292166e-05,BOM512344
95,Bridge Sec,6.82,1.6388832303628452e-05,BOM530249
96,ARUNIS ABODE,6.8,1.6340771211828956e-05,BOM526935
97,GCM Capital,6.23,1.4971030095543294e-05,BOM538319
98,Devine Impex,5.96,1.4322205356250084e-05,BOM531585
99,GSB Finance,5.85,1.4057869351352851e-05,BOM511543
100,Contil India,5.71,1.3721441708756373e-05,BOM531067
101,Adinath Exim,5.42,1.3024555877663667e-05,BOM532056
102,REGENCY FINCORP,5.33,1.2808280964565932e-05,BOM540175
103,Symbiox Invest,5.16,1.2399761684270208e-05,BOM539278
104,Libord Sec,4.35,1.0453287466390581e-05,BOM531027
105,Mehta Integrate,4.24,1.018895146149335e-05,BOM511377
106,SSPN Finance,3.99,9.588187813999638e-06,BOM539026
107,Prism Medico,3.79,9.107576896004669e-06,BOM512217
108,N2N Tech,3.63,8.723088161608692e-06,BOM512279
109,Pankaj Piyush,2.87,6.89676667322781e-06,BOM506122
110,Clio Infotech,2.81,6.752583397829318e-06,BOM530839
111,Provestment,2.64,6.3440641175335945e-06,BOM540703
112,Provestment,2.64,6.3440641175335945e-06,BOM590120
113,Siddha Venture,2.5,6.007636474937116e-06,BOM530439
114,JPT Securities,2.43,5.839422653638877e-06,BOM530985
115,Blue Chip,2.32,5.5750866487416435e-06,BOM506981
116,Blue Chip,2.32,5.5750866487416435e-06,BOM531936
117,Boston Leasing,2.24,5.382842281543656e-06,BOM539274
118,Dharani Finance,2.07,4.9743230012479315e-06,BOM511451
119,Harmony Capital,1.5,3.6045818849622698e-06,BOM530055
120,Darjeeling Rope,1.39,3.3402458800650362e-06,BOM539770
121,Classic Global,1.32,3.1720320587667972e-06,BOM538433
122,Aneri Fincap,1.29,3.099940421067552e-06,BOM531252
123,Regal Entertain,1.23,2.955757145669061e-06,BOM531033
124,Madhusudan Sec,1.07,2.5712684112730857e-06,BOM511000
