,Company Name,Market_Cap,weights,index
0,Bajaj Finance,373000.18,0.5040700392683883,BOM500034
1,Muthoot Finance,62908.07,0.08501356035591866,BOM533398
2,Bajaj Holdings,42603.71,0.05757437911338013,BOM500490
3,Shriram Trans,37386.46,0.050523821088520736,BOM511218
4,Sundaram Fin,28664.8,0.03873742597555985,BOM590071
5,L&T Finance,21810.87,0.029475069147091866,BOM533519
6,Manappuram Fin,16542.2,0.022355022465634023,BOM531213
7,Motilal Oswal,15492.58,0.02093657276242775,BOM532892
8,Motilal Oswal,15492.58,0.02093657276242775,BOM536960
9,Motilal Oswal,15492.58,0.02093657276242775,BOM590115
10,Shriram City,11861.76,0.016029906015037843,BOM532498
11,Magma Fincorp,11579.76,0.015648813032525917,BOM524000
12,CreditAccess Gr,10955.82,0.014805624537814952,BOM541770
13,IDFC,9378.78,0.012674422845826979,BOM532659
14,IDFC,9378.78,0.012674422845826979,BOM535501
15,IDFC,9378.78,0.012674422845826979,BOM535502
16,IDFC,9378.78,0.012674422845826979,BOM537411
17,IDFC,9378.78,0.012674422845826979,BOM537412
18,IDFC,9378.78,0.012674422845826979,BOM537700
19,IDFC,9378.78,0.012674422845826979,BOM537701
20,IDFC,9378.78,0.012674422845826979,BOM539437
21,Edelweiss,8491.23,0.011474993496080664,BOM532922
22,Edelweiss,8491.23,0.011474993496080664,BOM539142
23,Indostar Capita,4273.39,0.005775031704030647,BOM541336
24,Paisalo Digital,2909.7,0.003932149827003379,BOM532900
25,Bengal & Assam,1892.36,0.002557323107752729,BOM533095
26,PTC India Fin,1400.18,0.0018921942278494665,BOM533344
27,PNB Gilts,1315.87,0.0017782582372268402,BOM532366
28,Vardhman Hold,1051.34,0.001420774100120883,BOM500439
29,Ugro Capital,832.94,0.001125629747707391,BOM511742
30,Niyogin Fintech,827.96,0.001118899807803457,BOM538772
31,Muthoot Cap,775.83,0.0010484516617809507,BOM511766
32,Finkurve Fin,709.14,0.000958327225597545,BOM508954
33,Gloster,705.84,0.0009538676268660225,BOM538595
34,Gloster,705.84,0.0009538676268660225,BOM542351
35,Gloster,705.84,0.0009538676268660225,BOM590085
36,Summit Sec,704.36,0.0009518675644046124,BOM533306
37,Satin Credit,642.07,0.0008676892598632369,BOM539404
38,Arman Financial,574.07,0.0007757944981227723,BOM531179
39,SREI Infra,567.48,0.0007668888145952772,BOM523756
40,The Investment,543.8,0.0007348878152127153,BOM530023
41,Sindhu Trade,515.78,0.0006970217678014239,BOM532029
42,Nahar Capital,420.33,0.0005680312529760217,BOM532952
43,SIL Invest,346.48,0.0004682308389387673,BOM521194
44,Sangam Renewabl,338.66,0.00045766294133861384,BOM534618
45,Master Trust,332.17,0.00044889239716661947,BOM511768
46,Saraswati Comm,252.13,0.0003407268570238726,BOM512020
47,CSL Fin,228.26,0.0003084690928658595,BOM530067
48,Coral India Fin,209.57,0.00028321154732278183,BOM531556
49,BNK Capital,197.0,0.000266224530336346,BOM500069
50,Mercantile Vent,193.06,0.00026090003972961906,BOM538942
51,Capital Trust,183.08,0.0002474131320506509,BOM511505
52,Jaykay Enter,182.28,0.0002463320172066454,BOM500306
53,Industrial Inv,166.63,0.00022518270807078846,BOM501295
54,Sakthi Finance,158.21,0.00021380397433763093,BOM511066
55,Starteck Financ,140.73,0.00019018161499611148,BOM512381
56,Anjani Foods,138.07,0.00018658690813979332,BOM511153
57,Moneyboxx Finan,135.25,0.00018277597831467407,BOM538446
58,U. Y. Fincorp,133.55,0.00018047860927116247,BOM530579
59,Shardul Sec,123.89,0.00016742414752979646,BOM512393
60,Mukesh Babu Fin,95.26,0.00012873375004995085,BOM530341
61,McDowell Hold,80.53,0.0001088277229847002,BOM532852
62,SPS Finquest,79.08,0.0001068682023299403,BOM538402
63,Suchitra Fin,69.45,9.38542823952245e-05,BOM538714
64,IndiaNivesh,64.55,8.723245397569102e-05,BOM501700
65,Upsurge Invest,58.94,7.965113613210269e-05,BOM531390
66,Ashika Credit,58.21,7.866461883694771e-05,BOM590122
