,Company Name,Market_Cap,weights,index
0,Max Financial,37306.91,0.9418558444837165,BOM500271
1,EBIXCASH WORLD,687.76,0.017363292097955063,BOM533452
2,Crest Ventures,368.28,0.009297652108053523,BOM511413
3,Vaarad Ventures,361.11,0.009116637212825046,BOM532320
4,STEL Holdings,208.55,0.005265084574602374,BOM533316
5,Ontic Finserve,54.27,0.0013701085584448376,BOM540386
6,Tiaan Consumer,24.34,0.0006144912900782632,BOM540108
7,MPIL Corp,15.49,0.0003910628629134058,BOM500450
8,Confidence Fin,3.55,8.962383236556427e-05,BOM504340
9,Charms Ind,1.09,2.7518303458722553e-05,BOM531327
