,Company Name,Market_Cap,weights,index
0,ICICI Securitie,23415.41,0.3449568675194359,BOM541179
1,Dhani Services,12795.25,0.1885001953469131,BOM532960
2,Geojit Fin,2189.64,0.03225787442522926,BOM532285
3,Dolat Investmen,2059.2,0.030336226510491268,BOM505526
4,5paisa Capita,1312.56,0.019336692632386566,BOM540776
5,Dhanvarsha Finv,1111.87,0.016380118575281627,BOM540268
6,Choice Internat,610.61,0.008995533833319287,BOM531358
7,East India Sec,493.28,0.007267023025007349,BOM541053
8,Monarch Net,395.42,0.005825345127611917,BOM511551
9,Arihant Capital,338.78,0.004990922114036632,BOM511605
10,Inventure Grow,301.56,0.004442595409141292,BOM533506
11,Emkay Global,301.21,0.004437439193485371,BOM532737
12,Prime Sec,288.22,0.0042460699324270565,BOM500337
13,Almondz Global,161.78,0.002383350196613868,BOM531400
14,Indbank Merchan,143.34,0.0021116912917705025,BOM511473
15,LKP Securities,120.29,0.0017721176607162952,BOM540192
16,Inditrade Capit,106.49,0.0015688154434257066,BOM532745
17,Toyam Ind,70.97,0.0010455332145734098,BOM538607
18,BLB,59.79,0.0008808289544785708,BOM532290
19,Swastika Invest,48.84,0.0007195130646719083,BOM530585
20,Joindre Capital,39.92,0.000588103225669586,BOM531861
21,Gogia Capital,39.63,0.0005838309326975374,BOM531600
22,Vertex Sec,21.24,0.0003129086300907316,BOM531950
23,Khandwala Sec,21.13,0.0003112881051702994,BOM531892
24,Nam Securities,17.74,0.0002613464735315244,BOM538395
25,CIL Securities,11.85,0.00017457473006474432,BOM530829
26,Comfort Comm,10.42,0.0001535079060991254,BOM534691
27,Inani Sec,7.91,0.00011653047382380824,BOM531672
28,KJMC Corporate,7.46,0.00010990105369476732,BOM532304
29,Royal India,5.98,8.809762749258829e-05,BOM512047
30,Sugal & Damani,5.63,8.294141183666756e-05,BOM511654
31,KBS India,4.0,5.892817892480821e-05,BOM530357
32,NDA Securities,3.13,4.611130000866243e-05,BOM511535
33,Five X Tradecom,2.14,3.15265757247724e-05,BOM536751
34,Abhishek Infra,1.43,2.1066823965618935e-05,BOM539544
