,Company Name,Market_Cap,weights,index
0,Adani Total Gas,96458.84,0.3716965295241803,BOM542066
1,GAIL,63231.09,0.2436560165043567,BOM532155
2,Gujarat Gas,50290.34,0.1937898573794902,BOM523477
3,Gujarat Gas,50290.34,0.1937898573794902,BOM539336
4,Mahanagar Gas,11289.31,0.043502465380286806,BOM539957
5,Refex Ind,283.53,0.0010925604850316553,BOM532884
6,Bombay Oxygen,203.25,0.0007832078389683066,BOM509470
7,National Oxygen,28.45,0.00010962983035005325,BOM507813
8,Kabsons Ind,15.63,6.0228971823245426e-05,BOM524675
9,Bhagwati Oxygen,8.62,3.3216489898680455e-05,BOM509449
10,Gagan Gases,5.56,2.1425021326759087e-05,BOM524624
