,Company Name,Market_Cap,weights,index
0,Asahi India,8808.36,0.4381571093159299,BOM515030
1,Borosil,3775.05,0.18778353694934144,BOM502219
2,La Opala RG,3060.27,0.15222800350193005,BOM526947
3,Borosil Ltd.,2524.32,0.12556806876517174,BOM523768
4,Saint-Gobain,636.37,0.03165515937761153,BOM515043
5,Empire Ind,539.37,0.02683005690636317,BOM509525
6,Haldyn Glass,220.38,0.010962433841378488,BOM515147
7,Banaras Beads,56.01,0.0027861236022125833,BOM526849
8,Insilco,49.23,0.002448863862469657,BOM500211
9,Triveni Glass,8.46,0.00042082852481197035,BOM502281
