,Company Name,Market_Cap,weights,index
0,Container Corp,40420.59,0.6097155134885143,BOM531344
1,TCI Express,6337.33,0.09559406270656036,BOM540212
2,Mahindra Logist,4263.56,0.06431273454170487,BOM540768
3,Gateway Distri,3427.99,0.0517087623679786,BOM532622
4,Transport Corp,3196.55,0.04821765651223078,BOM532349
5,VRL Logistics,2619.38,0.03951146239383306,BOM539118
6,Gati,2059.73,0.031069544868041202,BOM500219
7,Gati,2059.73,0.031069544868041202,BOM517431
8,Gati,2059.73,0.031069544868041202,BOM523754
9,Gati,2059.73,0.031069544868041202,BOM530449
10,Gati,2059.73,0.031069544868041202,BOM532345
11,Gati,2059.73,0.031069544868041202,BOM570004
12,Snowman Logist,898.93,0.013559712179862543,BOM538635
13,Arshiya,786.83,0.011868764347036195,BOM506074
14,Navkar Corp,773.67,0.011670255216973796,BOM539332
15,Future Supply,382.66,0.005772150737817407,BOM540798
16,Sical Logistics,88.78,0.00133918241390119,BOM520086
17,Orissa Bengal C,87.49,0.0013197236921853469,BOM541206
18,North Eastern,71.53,0.0010789785770032904,BOM534615
19,ABC India,47.16,0.0007113746636582577,BOM520123
20,Coastal Roadway,7.15,0.00010785260485912941,BOM520131
