,Company Name,Market_Cap,weights,index
0,Apollo Hospital,56291.69,0.2983970953990182,BOM508869
1,Fortis Health,18281.31,0.09690755072532066,BOM532843
2,Metropolis,14436.01,0.07652396744796933,BOM542650
3,Narayana Hruda,10217.02,0.05415948769052194,BOM539551
4,Aster DM Health,7994.71,0.04237922582458414,BOM540975
5,Thyrocare Techn,6926.81,0.036718385686783844,BOM539871
6,Healthcare Glob,2795.04,0.014816251164675848,BOM539787
7,Shalby,2167.22,0.011488234819218611,BOM540797
8,Kovai Medical,1526.45,0.008091571709284822,BOM523323
9,Indraprastha,755.84,0.004006638645711186,BOM532150
10,Indraprastha,755.84,0.004006638645711186,BOM532514
11,KMC Speciality,634.4,0.0033628963230831607,BOM524520
12,Fortis Malar,121.07,0.0006417809865001233,BOM523696
13,Tejnaksh,81.25,0.00043069881187028186,BOM539428
14,Medinova Diag,37.93,0.00020106345765218204,BOM526301
15,Transgene Biote,32.13,0.00017031818862021117,BOM526139
16,Looks Health,18.9,0.0001001871697765948,BOM534422
17,NG Industries,16.58,8.788906216380644e-05,BOM521076
18,NG Industries,16.58,8.788906216380644e-05,BOM522207
19,NG Industries,16.58,8.788906216380644e-05,BOM530111
20,NG Industries,16.58,8.788906216380644e-05,BOM530721
21,NG Industries,16.58,8.788906216380644e-05,BOM531029
22,NG Industries,16.58,8.788906216380644e-05,BOM531831
23,Chennai Meenaks,10.2,5.406926622863846e-05,BOM523489
24,Dolphin Medical,5.89,3.122235079281182e-05,BOM526504
