,Company Name,Market_Cap,weights,index
0,Indian Hotels,17482.1,0.3159424417682121,BOM500850
1,Westlife Dev,8117.33,0.14669914145545224,BOM505533
2,EIH,7122.9,0.1287274651483974,BOM500840
3,EIH,7122.9,0.1287274651483974,BOM523127
4,Mahindra Holida,4339.97,0.07843341011667863,BOM533088
5,Chalet Hotels,3519.23,0.06360071841162933,BOM542399
6,India Tourism D,3390.46,0.061273543288132004,BOM532189
7,Lemon Tree Hote,3212.56,0.05805847413794038,BOM541233
8,Coffee Day,900.99,0.01628299692878667,BOM539436
9,Mac Charles,677.91,0.012251419491885338,BOM507836
10,Oriental Hotels,649.21,0.011732743355794842,BOM500314
11,HLV,617.94,0.011167621307866275,BOM500193
12,Sayaji Hotels,418.59,0.007564900481049525,BOM523710
13,Speciality Rest,340.44,0.006152547169709024,BOM534425
14,Advani Hotels,319.84,0.005780256981435008,BOM523269
15,Royal Orchid,233.39,0.004217903254430705,BOM532699
16,Sinclairs Hotel,233.24,0.004215192403545215,BOM523023
17,Benares Hotels,218.65,0.003951516974083182,BOM509438
18,Asian Hotels,176.05,0.003181635322603906,BOM500023
19,Asian Hotels,176.05,0.003181635322603906,BOM533221
20,Asian Hotels,176.05,0.003181635322603906,BOM533227
21,Country Club,135.68,0.0024520549876222548,BOM526550
22,Graviss Hosp,126.23,0.0022812713818363595,BOM509546
23,Kamat Hotels,116.39,0.0021034395637481887,BOM526668
24,The Byke Hosp,115.88,0.0020942226707375213,BOM531373
25,Savera Ind,61.67,0.0011145211607212888,BOM512634
26,CHL,52.08,0.0009412074274422688,BOM500284
27,CHL,52.08,0.0009412074274422688,BOM530461
28,CHL,52.08,0.0009412074274422688,BOM532992
29,Royale Manor,52.07,0.0009410267040499028,BOM526640
30,Dhanada Corp,36.58,0.0006610861692749268,BOM531198
31,Phoenix Town,24.4,0.00044096507737310595,BOM537839
32,TGB Banquets,23.81,0.00043030239722351035,BOM532845
33,Jindal Hotels,21.51,0.0003887360169793242,BOM507981
34,Viceroy Hotels,15.9,0.000287350193861983,BOM523796
35,Velan Hotels,13.58,0.0002454223668330647,BOM526755
36,Polo Hotels,11.61,0.00020981985853695738,BOM526687
37,Ras Resorts,11.14,0.00020132585909575412,BOM507966
38,HS India,10.21,0.0001845185836057136,BOM531626
39,Sanghvi Brands,9.53,0.00017222939292482376,BOM540782
40,Blue Coast,9.43,0.0001704221590011635,BOM531495
41,Hotel Rugby,5.9,0.00010662680149595595,BOM526683
42,Howard Hotels,5.85,0.0001057231845341258,BOM526761
43,Lords Ishwar,4.07,7.3554420692973e-05,BOM530065
44,Pecos Hotels,3.43,6.198812358154727e-05,BOM539273
