,Company Name,Market_Cap,weights,index
0,HUL,554326.75,0.5541666124739935,BOM531887
1,Dabur India,104480.03,0.10444984712767552,BOM500096
2,Godrej Consumer,100203.65,0.10017470251621388,BOM532424
3,Marico,68869.78,0.0688498844488908,BOM531642
4,Colgate,48848.62,0.048834508292138826,BOM500830
5,Emami,24510.49,0.024503409249829078,BOM531162
6,Emami,24510.49,0.024503409249829078,BOM533208
7,Emami,24510.49,0.024503409249829078,BOM533218
8,Gillette India,19876.98,0.019871237808410505,BOM507815
9,Sheela Foam,11486.4,0.011483081733871364,BOM540203
10,Orient Electric,7387.24,0.007385105925940581,BOM541301
11,Jyothy Labs,6426.15,0.006424293571886531,BOM532926
12,Bajaj Consumer,4283.83,0.004282592459257048,BOM533229
13,Safari Ind,1668.02,0.0016675381315061388,BOM523025
14,JHS Svendgaard,168.09,0.0001680414410647755,BOM532771
15,Lykis,83.41,8.338590397532824e-05,BOM530689
16,Radix Ind,63.56,6.354163837275943e-05,BOM531412
17,Lehar Footwears,51.98,5.1964983678666373e-05,BOM532829
18,Pee Cee Cosma,42.84,4.28276241014634e-05,BOM524136
19,Ador Multi,40.19,4.017838965074262e-05,BOM523120
20,Paramount Cosme,12.11,1.2106501584237202e-05,BOM507970
21,Sarup Ind,6.8,6.798035571660857e-06,BOM514412
22,Sarup Ind,6.8,6.798035571660857e-06,BOM532690
