,Company Name,Market_Cap,weights,index
0,Nirlon,2650.82,0.24015945278702627,BOM500307
1,Power Mech,1175.98,0.10654164118593007,BOM539302
2,Indian Hume,1081.83,0.09801182306176527,BOM504741
3,MEP Infra,454.95,0.041217639464564776,BOM539126
4,OM Infra,327.91,0.02970804738284523,BOM531092
5,Bharat Road Net,300.12,0.027190324114969074,BOM540700
6,Generic Eng,209.22,0.01895495005775633,BOM539407
7,Jyoti Structure,110.18,0.009982106860546758,BOM513250
8,A2Z Infra Eng,99.68,0.009030826028855516,BOM533292
9,K.P. Energy,95.37,0.008640347896989873,BOM539686
10,Kings Infra,84.76,0.007679101266109486,BOM530215
11,Expo Gas Cont,11.4,0.0010328191886933475,BOM526614
12,Neueon Towers,10.8,0.0009784602840252766,BOM532887
13,Anubhav Infra,10.71,0.000970306448325066,BOM538833
14,Genus Prime Inf,9.7,0.0008788022921338132,BOM532425
15,Raunaq EPC Int,8.78,0.0007954519716427711,BOM537840
16,IND Renewable,3.78,0.0003424610994088468,BOM536709
