,Company Name,Market_Cap,weights,index
0,JSW Steel,173411.39,0.2522846812750271,BOM500228
1,Tata Steel,144404.71,0.21008479452798756,BOM500470
2,Hindalco,88044.91,0.12809067534282753,BOM500440
3,NMDC,50875.32,0.07401511452601246,BOM526371
4,Jindal Steel,40571.14,0.05902424935215907,BOM532286
5,APL Apollo,20214.42,0.029408613280013114,BOM533758
6,KIOCL,15841.03,0.0230460594579061,BOM540680
7,Tata Steel BSL,9720.68,0.0141419698877711,BOM500055
8,Jindal Stainles,7535.08,0.010962286019285304,BOM532508
9,Jindal Stainles,7535.08,0.010962286019285304,BOM539597
10,Godawari Power,5843.93,0.00850194452304182,BOM532734
11,Tata Steel Long,4947.47,0.0071977445776068025,BOM513010
12,Jindal Saw,4139.22,0.00602187548595982,BOM500378
13,Tata Metaliks,3983.66,0.0057955616030070135,BOM513434
14,Mishra Dhatu Ni,3754.29,0.0054618664671566355,BOM541195
15,Jai Corp,2807.9,0.0040850266903007275,BOM512237
16,Sarda Energy,2554.99,0.0037170847763280225,BOM504614
17,Tinplate,2554.41,0.0037162409729588233,BOM504966
18,Usha Martin,2095.1,0.003048021446222819,BOM517146
19,Usha Martin,2095.1,0.003048021446222819,BOM532398
20,Mukand,1925.95,0.0028019363774296397,BOM500460
21,Mukand,1925.95,0.0028019363774296397,BOM532097
22,Kalyani Steels,1917.24,0.0027892647785577,BOM500235
23,Lloyds Metals,1851.21,0.0026932021294745574,BOM512455
24,JSW Ispat Speci,1847.67,0.002688052019255652,BOM513446
25,Orissa Minerals,1846.41,0.0026862189291777363,BOM590086
26,Sandur Manganes,1779.5,0.002588876026706843,BOM504918
27,Jayaswal Neco,1641.29,0.002387803503160255,BOM522285
28,Gallantt Ispat,1581.22,0.0023004116611123316,BOM533265
29,Sunflag Iron,1518.35,0.002208946285557929,BOM500404
30,Technocraft Ind,1501.95,0.0021850870178771243,BOM532804
31,Prakash Ind,1376.24,0.0020021999117701746,BOM506022
32,Shankara Buildi,1240.6,0.0018048663100491762,BOM540425
33,Welspun Special,1052.23,0.00153081934340081,BOM500365
34,Nelcast,775.62,0.001128397877962552,BOM532864
35,Beekay Steel,698.23,0.0010158083215102663,BOM539018
36,Gallantt Metal,656.27,0.00095476351224889,BOM532726
37,Steel Exchange,639.47,0.0009303223112100168,BOM534748
38,JTL Infra,585.69,0.000852081371217719,BOM534600
39,Raghav Producti,582.92,0.0008480514827130951,BOM539837
40,Kamdhenu,475.01,0.0006910604110401896,BOM532741
41,MSP Steel,420.49,0.0006117428943354652,BOM532650
42,ISMT,420.46,0.00061169924933361,BOM532479
43,Shri Bajrang,326.34,0.00047477033018011297,BOM526981
44,Scan Steels,241.34,0.0003511094915905757,BOM511672
45,KIC Metaliks,230.55,0.00033541183925668035,BOM513693
46,Manaksia Steels,224.45,0.00032653735554613703,BOM539044
47,Electrotherm,195.16,0.00028392528540157767,BOM526608
48,Panchmahal Stee,174.57,0.0002539702657950062,BOM513511
49,Incredible Ind,171.16,0.000249009283917473,BOM538365
50,Mahamaya Steel,159.82,0.00023251147321623356,BOM513554
51,Visa Steel,119.84,0.0001743472340772959,BOM532721
52,Bedmutha Ind,114.54,0.00016663661708288946,BOM533270
53,Suraj,110.77,0.00016115189518309467,BOM526211
54,Suraj,110.77,0.00016115189518309467,BOM531638
55,La Tim Metal,96.17,0.00013991132761359768,BOM505693
56,Bihar Sponge,90.75,0.0001320261306117707,BOM500058
57,Manaksia Coated,90.11,0.00013109503723886126,BOM539046
58,Sarthak Metals,86.25,0.00012547938033350108,BOM540393
59,Hisar Metal,81.62,0.00011874350171385924,BOM590018
60,Uttam Galva,77.67,0.00011299690980293369,BOM513216
61,India Steel,76.83,0.00011177484975099001,BOM513361
62,Suraj Products,63.27,9.204730891247089e-05,BOM518075
63,Kanishk Steel,60.14,8.749368038558557e-05,BOM513456
64,Nova Iron,58.73,8.544236529839442e-05,BOM513566
65,Kridhan Infra,56.87,8.273637518337631e-05,BOM533482
66,Rathi Bars,42.62,6.200499930218917e-05,BOM532918
67,Vaswani Ind,41.46,6.0317392563790785e-05,BOM533576
68,Gyscoal Alloys,38.78,5.6418439064732435e-05,BOM533275
69,Sharda Ispat,38.53,5.6054730715939677e-05,BOM513548
70,Remi Edelstahl,38.44,5.592379571037428e-05,BOM513043
71,Narayani Steels,36.71,5.3406933936728406e-05,BOM540080
72,Oil Country,33.22,4.8329565387581524e-05,BOM500313
73,Akashdeep Metal,30.91,4.496890024473645e-05,BOM538778
74,Metal Coatings,30.04,4.370319519093766e-05,BOM531810
75,Ankit Metal,25.96,3.776747493863987e-05,BOM532870
76,Prakash Steelag,25.55,3.717099324661974e-05,BOM533239
77,Unison Metals,18.06,2.627429111678875e-05,BOM538610
78,Ashirwad Steel,16.81,2.4455749372824965e-05,BOM526847
79,National Steel,16.2,2.356830100177064e-05,BOM513179
80,Rishabh Digha,14.26,2.0745924215138847e-05,BOM531539
81,Pradhin,12.68,1.8447287450768624e-05,BOM530095
82,Ashiana Ispat,12.39,1.8025385766169027e-05,BOM513401
83,Aanchal Ispat,11.76,1.710884072721128e-05,BOM538812
84,IMEC Services,11.3,1.643961736543261e-05,BOM513295
85,Shree Steel Wir,10.08,1.4664720623323955e-05,BOM513488
86,Umiya Tubes,9.96,1.4490140615903433e-05,BOM539798
87,Garg Furnace,9.08,1.3209887228152927e-05,BOM530615
88,Ahmedabad St,6.63,9.64554540998391e-06,BOM522273
89,Modern Steels,6.48,9.427320400708257e-06,BOM513303
90,Real Strips,4.9,7.1286836363380335e-06,BOM513558
91,Aditya Ispat,4.63,6.735878619641856e-06,BOM513513
92,Vallabh Steels,3.96,5.7611402448772674e-06,BOM513397
93,Elango Ind,3.47,5.048271881243465e-06,BOM513452
94,Gopal Iron,2.58,3.7534701595412502e-06,BOM531913
