,Company Name,Market_Cap,weights,index
0,Infosys,677343.7,0.22882027395333493,BOM500179
1,Infosys,677343.7,0.22882027395333493,BOM500209
2,Infosys,677343.7,0.22882027395333493,BOM530801
3,Infosys,677343.7,0.22882027395333493,BOM531219
4,Wipro,328288.66,0.11090248734427327,BOM507685
5,HCL Tech,269806.15,0.09114592363861151,BOM532281
6,Tech Mahindra,109481.27,0.03698496670768331,BOM532755
7,MphasiS,47350.78,0.015996042262597397,BOM526299
8,Mindtree,44973.49,0.015192946066284472,BOM532819
9,Persistent,23229.76,0.00784747838810669,BOM533179
10,Intellect Desig,11404.52,0.003852675371021075,BOM538835
11,Birlasoft,11051.99,0.0037335836732954306,BOM532400
12,Cyient,11040.1,0.0037295669930527344,BOM532175
13,Zensar Tech,8537.06,0.002883989927057796,BOM504067
14,Sonata,8223.46,0.0027780495633816208,BOM532221
15,KPIT Tech,7819.95,0.002641735800157854,BOM542651
16,Mastek,6893.35,0.0023287117536580342,BOM523704
17,Sasken Tech,1974.37,0.0006669817469111263,BOM532663
18,RPSG VENTURES,1910.68,0.0006454659887397757,BOM542333
19,Quick Heal Tech,1876.48,0.0006339125434664174,BOM539678
20,Datamatics Glob,1748.44,0.0005906580658991425,BOM532528
21,Xchanging Sol,1456.05,0.0004918828652126732,BOM532616
22,3i Infotech,1422.66,0.00048060305416947334,BOM532628
23,Expleo Solution,1194.41,0.00040349563067110955,BOM533121
24,Zen Tech,771.25,0.00026054370371572004,BOM533339
25,Kellton Tech,581.71,0.0001965132938586341,BOM519602
26,Cybertech,529.24,0.0001787878765050343,BOM532173
27,Genesys Int,505.86,0.00017088964403453376,BOM506109
28,Trigyn Tech,492.42,0.00016634934273412625,BOM517562
29,Xtglobal,478.67,0.00016170431722217662,BOM531225
30,Onward Tech,448.96,0.0001516676839159931,BOM517536
31,FCS Software,413.71,0.0001397595276035404,BOM532666
32,AXISCADES Techn,375.52,0.0001268581803816236,BOM532395
33,Allied Digital,325.53,0.0001099705567203609,BOM532875
34,ASM Tech,290.1,9.800159280120636e-05,BOM526433
35,Securekloud Tec,271.3,9.165057610123158e-05,BOM512161
36,Majesco,257.67,8.704608899374988e-05,BOM539289
37,Inspirisys Solu,238.3,8.050251487255248e-05,BOM532774
38,Softsol India,234.67,7.927622813739776e-05,BOM532344
39,Dynacons Sys,153.26,5.177429890628364e-05,BOM532365
40,Cambridge Tech,152.63,5.156147228282704e-05,BOM532801
41,IZMO,146.69,4.95548212616648e-05,BOM532341
42,Sagarsoft,145.45,4.913592441549625e-05,BOM540143
43,Indian Infotech,135.46,4.576110224354158e-05,BOM509051
44,Jeevan Scient,133.89,4.523072478508623e-05,BOM538837
45,Rolta,128.57,4.343352218700827e-05,BOM500366
46,Starcom Info,124.49,4.205521643509885e-05,BOM531616
47,Palred Tech,108.08,3.651158962411024e-05,BOM532521
48,Megasoft,106.32,3.591702635858069e-05,BOM532408
49,VEDAVAAG System,104.42,3.527516828783856e-05,BOM533056
50,Danlaw Tech,96.39,3.2562473388859976e-05,BOM532329
51,Kernex Micro,94.81,3.2028717730032314e-05,BOM532686
52,Tera Software,93.84,3.170103229391659e-05,BOM533982
53,Bodhtree Cons,90.81,3.067743758110151e-05,BOM539122
54,CG-Vak Software,84.92,2.8687677561800904e-05,BOM531489
55,Elnet Tech,84.32,2.8484985539461282e-05,BOM517477
56,WEP Solutions,81.78,2.7626922644890227e-05,BOM532373
57,Nettlinx,77.89,2.6312802700055023e-05,BOM511658
58,Athena Global,69.14,2.3356877374268894e-05,BOM517429
59,B2B Software,60.53,2.0448246853695347e-05,BOM531268
60,Cressanda Sol,58.89,1.9894221992633717e-05,BOM512379
61,Vama Ind,54.64,1.8458486834394743e-05,BOM512175
62,Integra Telecom,52.98,1.789770557258846e-05,BOM536868
63,Cranes Software,46.75,1.5793086740628738e-05,BOM512093
64,Atishay,39.81,1.3448615682233798e-05,BOM538713
65,Saven Tech,30.03,1.0144735718097989e-05,BOM532404
66,COSYN,27.6,9.323833027622528e-06,BOM538922
67,Goldstone Tech,25.13,8.489417535657758e-06,BOM531439
68,USG Tech,15.29,5.165268369287986e-06,BOM532402
69,Bartronics,12.46,4.209237663919445e-06,BOM532694
70,Sankhya Infotec,11.87,4.009923841952151e-06,BOM532972
71,Usha Martin Edu,11.36,3.837635622963475e-06,BOM532398
72,Southern Infosy,10.54,3.5606231924326603e-06,BOM540174
73,Nihar Info,6.05,2.0438112252578366e-06,BOM531083
74,Netlink Sol,5.88,1.9863818189282774e-06,BOM509040
75,Objectone Info,5.42,1.8309846018012354e-06,BOM535657
76,Sylph Tech,5.35,1.8073371991949463e-06,BOM511447
77,Indo-City,4.23,1.4289787574943222e-06,BOM532100
78,AJEL,4.12,1.3918185533987251e-06,BOM530713
79,Quest Softech,2.27,7.668514845182296e-07,BOM535719
80,Centerac Tech,1.82,6.148324677635145e-07,BOM531621
81,Palsoft Infosys,1.14,3.8511484244527826e-07,BOM511597
