,Company Name,Market_Cap,weights,index
0,Bharat Forge,36776.85,0.6398071367744035,BOM500493
1,Ratnamani Metal,9625.97,0.16746307267686886,BOM520111
2,Kirloskar Ferro,3820.56,0.06646631112982257,BOM500245
3,Welspun Corp,3813.78,0.0663483594186964,BOM532144
4,Electrosteel,1593.27,0.02771813020442354,BOM500128
5,Electrosteel,1593.27,0.02771813020442354,BOM533264
6,Srikalahasthi,1032.27,0.01795840897407237,BOM513605
7,Kalyani Forge,77.93,0.0013557487976493165,BOM513509
8,National Fittin,53.32,0.0009276084420718793,BOM531289
9,Welcast Steels,30.44,0.0005295649095399101,BOM504988
