,Company Name,Market_Cap,weights,index
0,Vedanta,99527.94,0.39015145308454174,BOM500295
1,Gravita India,1224.73,0.004800965328291038,BOM533282
2,Bharat Wire Rop,499.96,0.0019598528863769057,BOM539799
3,Ram Ratna Wires,357.5,0.0014014069263135927,BOM522281
4,Nile,171.32,0.0006715777192057194,BOM500696
5,Nile,171.32,0.0006715777192057194,BOM530129
6,Bhagyanagar Ind,155.98,0.0006114446220038997,BOM512296
7,Cubex Tubings,40.81,0.00015997599066533628,BOM526027
8,UTL Industries,33.94,0.00013304545756386945,BOM500426
9,Shalimar Wires,29.12,0.00011415096417972537,BOM532455
10,Baroda Extrusio,28.47,0.00011160295158642792,BOM513502
11,RCI Industries,14.08,5.519387279019688e-05,BOM537254
12,Starlit Power,12.38,4.8529839853880495e-05,BOM538733
13,Southern Magnes,6.6,2.5872127870404785e-05,BOM513498
