,Company Name,Market_Cap,weights,index
0,Vikas Proppant,137.42,0.40195390195390207,BOM531518
1,Kothari Ferment,120.0,0.3510003510003511,BOM507474
2,Indrayani Biot,38.27,0.11193986193986198,BOM526445
3,Unique Organics,8.33,0.024365274365274373,BOM530997
4,Techindia Nirm,7.08,0.020709020709020715,BOM526576
5,Acewin Agriteck,6.38,0.018661518661518668,BOM539570
6,Ozone World,5.27,0.015414765414765419,BOM539291
7,SC Agrotech,5.19,0.015180765180765186,BOM526081
8,Super Bakers,2.69,0.00786825786825787,BOM530735
9,SIP Industries,1.09,0.0031882531882531898,BOM523164
