,Company Name,Market_Cap,weights,index
0,JK Paper,3718.38,0.22247271278285627,BOM532162
1,West Coast Pap,1672.69,0.10007795920394254,BOM500444
2,Seshasayee Pape,1358.17,0.08126005527146013,BOM502450
3,Satia Ind,1061.0,0.06348021134542745,BOM539201
4,Andhra Paper,974.37,0.05829709097892944,BOM502330
5,Emami Paper,967.98,0.05791477377770675,BOM533208
6,Kuantum Papers,725.16,0.04338672013124426,BOM532937
7,Orient Paper,610.03,0.03649842914896428,BOM502420
8,Rushil Decor,556.84,0.033316042304983806,BOM533470
9,Pudumjee Paper,395.94,0.023689307144305883,BOM539785
10,YASH PAKKA LTD,310.46,0.018574991907918382,BOM516030
11,Astron Paper &,305.51,0.018278830695703616,BOM540824
12,Shree Rama News,305.37,0.018270454418994515,BOM500356
13,Genus Paper,285.41,0.017076236682467907,BOM538961
14,Star Paper,245.75,0.014703357151874452,BOM516022
15,Ruchira Papers,221.78,0.013269218918179924,BOM532785
16,Nath Industries,212.04,0.01268646938141794,BOM502587
17,Ballarpur Ind,205.66,0.012304750485674466,BOM500102
18,Shreyans Ind,153.11,0.009160655192364182,BOM516016
19,Kushal,121.54,0.007271804794461123,BOM536170
20,Metroglobal,106.69,0.006383321157816827,BOM500159
21,Sundaram Multi,105.67,0.0063222939989362095,BOM533166
22,Ganga Papers,98.83,0.005913053051148534,BOM531813
23,Orient Press,79.8,0.004774477724189547,BOM526325
24,Malu Paper,62.44,0.0037358194122605933,BOM532728
25,Balkrishna,30.29,0.0018122672965626742,BOM502355
26,Balkrishna,30.29,0.0018122672965626742,BOM539251
27,Rama Paper Mill,26.58,0.0015902959637714056,BOM500357
28,Mohit Paper Mil,15.18,0.0009082277174586132,BOM530169
29,Cella Space Ltd,13.41,0.0008023276476363638,BOM532701
30,Sangal Papers,12.07,0.0007221547134206496,BOM516096
31,Vapi Paper,8.97,0.0005366800148619078,BOM502589
32,Superb Papers,8.0,0.00047864438337739826,BOM532070
33,Agio Paper,6.1,0.00036496634232526616,BOM516020
34,Gratex Ind,3.79,0.00022675777662504242,BOM526751
35,Kay Power,2.86,0.00017111536705741986,BOM530255
