,Company Name,Market_Cap,weights,index
0,Sun Pharma,166513.85,0.13334463692158355,BOM524552
1,Sun Pharma,166513.85,0.13334463692158355,BOM524715
2,Sun Pharma,166513.85,0.13334463692158355,BOM532872
3,Cipla,76510.04,0.06126939893982292,BOM500087
4,Cadila Health,62965.29,0.05042273500800212,BOM532321
5,Aurobindo Pharm,56484.48,0.045232888899658784,BOM524804
6,Lupin,53628.97,0.04294619056089626,BOM500257
7,Torrent Pharma,51563.86,0.041292446183758075,BOM500420
8,Alkem Lab,40729.82,0.03261652444995687,BOM539523
9,Abbott India,37808.88,0.030277429631299264,BOM500488
10,Laurus Labs,34747.69,0.02782602232134888,BOM540222
11,GlaxoSmithKline,28489.01,0.022814058378359293,BOM500660
12,GlaxoSmithKline,28489.01,0.022814058378359293,BOM500676
13,Pfizer,25527.23,0.02044225880287889,BOM500680
14,Natco Pharma,19904.0,0.015939164539689635,BOM524816
15,Ajanta Pharma,18751.43,0.015016184089854924,BOM532331
16,Sanofi India,18408.38,0.014741468937355902,BOM500674
17,Glenmark,18336.7,0.014684067444479849,BOM532296
18,Suven Pharma,12789.34,0.010241730034869083,BOM543064
19,Jubilant Pharmo,11100.3,0.008889143294810935,BOM530019
20,Eris Life,10377.25,0.008310123353069446,BOM540596
21,Granules India,9399.26,0.007526946929829341,BOM532482
22,AstraZeneca,8767.75,0.007021232410212208,BOM506820
23,Sequent Scienti,7300.87,0.00584655185957013,BOM512529
24,Strides Pharma,6899.25,0.00552493372942392,BOM532531
25,Aarti Drugs,6648.68,0.005324276753001592,BOM524348
26,Hikal,6511.51,0.005214430732105831,BOM524735
27,FDC,6409.72,0.005132917088692697,BOM531599
28,SOLARA ACTIVE P,6099.98,0.004884876653377008,BOM541540
29,Wockhardt,6069.15,0.004860187925344521,BOM532300
30,Shilpa,5139.05,0.004115361913569735,BOM530549
31,Advanced Enzyme,4463.87,0.003574676367252028,BOM540025
32,Indoco Remedies,4097.12,0.0032809822055291996,BOM532612
33,IOL Chemicals,3909.79,0.003130967952453433,BOM524164
34,Valiant Organic,3817.24,0.0030568537202313533,BOM540145
35,Marksans Pharma,3538.52,0.0028336541653427734,BOM524404
36,Alembic,3326.61,0.0026639561972154812,BOM506235
37,Alembic,3326.61,0.0026639561972154812,BOM533573
38,Dishman Carboge,3287.74,0.002632829020484284,BOM540701
39,Morepen Lab,2937.37,0.0023522519967819604,BOM500288
40,Neuland Lab,2771.45,0.002219382916173776,BOM524558
41,Novartis India,2424.76,0.0019417528441146423,BOM500672
42,Panacea Biotec,2166.75,0.0017351379002397767,BOM531349
43,Hester Bio,2058.66,0.0016485792037418338,BOM524669
44,Amrutanjan Heal,2013.84,0.0016126872546527618,BOM590006
45,Orchid Pharma,2009.19,0.0016089635249949264,BOM524372
46,Gufic Bio,1764.39,0.0014129271765566216,BOM509079
47,SMS Pharma,1583.42,0.0012680060246902814,BOM532815
48,Bajaj Healthcar,1260.76,0.0010096192265403488,BOM539872
49,Bliss GVS,1151.92,0.0009224599284846908,BOM506197
50,TTK Healthcare,1124.99,0.0009008943285523232,BOM507747
51,Suven Life Sci,1120.09,0.0008969703983752492,BOM530239
52,Kopran,1011.63,0.0008101154051088336,BOM524280
53,Take Solutions,947.52,0.0007587759839553216,BOM532890
54,Fermenta Bio,920.45,0.0007370982717321806,BOM506414
55,Nectar Life,899.29,0.0007201532997838369,BOM532649
56,Themis Medicare,844.19,0.0006760291053436793,BOM530199
57,RPG Life,766.58,0.0006138788561512902,BOM532983
58,Lincoln Pharma,745.6,0.0005970780285767982,BOM531633
59,Medicamen Bio,733.0,0.0005869879224071796,BOM531146
60,Anuh Pharma,687.04,0.00055018305895038,BOM506260
61,Syncom Formula,661.19,0.0005294823252611229,BOM524470
62,Venus Remedies,617.89,0.0004948075953290207,BOM526953
63,Shree Ganesh Re,406.26,0.00032533385178327523,BOM540737
64,Smruthi Organic,405.54,0.00032475727428786847,BOM540686
65,Smruthi Organic,405.54,0.00032475727428786847,BOM590046
66,Bafna Pharma,367.03,0.0002939183863043753,BOM532989
67,Lasa Supergener,331.08,0.00026512955163788404,BOM540702
68,Albert David,326.45,0.00026142183802158763,BOM524075
69,Kilitch Drugs,292.72,0.00023441078396593397,BOM524500
70,Wanbury,290.14,0.000232344714607393,BOM524212
71,Bharat Immuno,277.65,0.00022234269666623926,BOM524663
72,Everest Organic,272.0,0.00021781816493144997,BOM524790
73,Mangalam Drugs,264.17,0.00021154788466890126,BOM532637
74,Krebs Biochem,249.13,0.0001995038214315152,BOM524518
75,Praveg,238.35,0.00019087117504195257,BOM531637
76,Jenburkt Pharma,236.35,0.00018926957088804487,BOM524731
77,Ambalal Sarabha,235.65,0.00018870900943417717,BOM500009
78,ZIM Laboratorie,230.72,0.00018476105519479462,BOM541400
79,Tyche Ind,228.58,0.00018304733875011337,BOM532384
80,Kimia Bio,227.34,0.00018205434417469058,BOM530313
81,SMS Lifescience,222.38,0.00017808236587299944,BOM540679
82,Bharat Parenter,212.05,0.00016981008041806606,BOM541096
83,Kwality Pharmac,209.18,0.0001675117784572085,BOM539997
84,Vivimed Labs,197.34,0.00015803028186607478,BOM532660
85,Lyka Labs,176.3,0.00014118140616696556,BOM500259
86,Fredun Pharmace,169.04,0.00013536758308828052,BOM539730
87,Vikram Thermo,148.76,0.00011912731696765624,BOM530477
88,Bal Pharma,143.48,0.00011489908200133985,BOM524824
89,Biofil Chem,114.65,9.181195812276008e-05,BOM524396
90,Natural Capsule,103.31,8.27308625701033e-05,BOM524654
91,Source Natural,102.83,8.234647757316545e-05,BOM531398
92,Aarey Drugs,86.17,6.900511497111414e-05,BOM524412
93,BDH Industries,85.35,6.834845726801197e-05,BOM524828
94,Medico Remedies,82.98,6.645055634563132e-05,BOM540937
95,Samrat Pharma,82.46,6.603413926561531e-05,BOM530125
96,Denis Chem Lab,70.77,5.6672762986024684e-05,BOM537536
97,Kerala Ayur,68.14,5.456665352363604e-05,BOM530163
98,Medi-Caps,57.8,4.6286360047933115e-05,BOM523144
99,Godavari Drugs,57.34,4.591799109253435e-05,BOM530317
100,Fervent Synergi,56.7,4.5405477763283874e-05,BOM533896
101,Zenith Health,47.77,3.82543152160859e-05,BOM530665
102,Panchsheel Org,47.77,3.82543152160859e-05,BOM531726
103,Deccan Health C,42.43,3.397803212515229e-05,BOM542248
104,Sunil Health,41.43,3.317723004819843e-05,BOM537253
105,Vivanza Bio,40.4,3.235240390893595e-05,BOM530057
106,Sandu Pharma,40.04,3.2064115161232564e-05,BOM524703
107,Vista Pharma,37.9,3.03503987165513e-05,BOM524711
108,Vasundhara Ras,35.44,2.8380425607244803e-05,BOM538634
109,Concord Drugs,25.75,2.0620653481561902e-05,BOM538965
110,Emmessar Biotec,23.56,1.8866896933032944e-05,BOM524768
111,Parnax Lab,21.94,1.7569597568367694e-05,BOM506128
112,Pharmaids Pharm,18.1,1.4494517592864872e-05,BOM524572
113,Kobo Biotech,16.99,1.3605627287446083e-05,BOM531541
114,Ishita Drugs,13.99,1.1203221056584505e-05,BOM524400
115,Roopa Ind,11.79,9.441456487286012e-06,BOM530991
116,SS Organics,11.28,9.033047428039543e-06,BOM524636
117,Aayush Food,9.2,7.367379107975513e-06,BOM539528
118,Welcure Drugs,7.96,6.374384532552728e-06,BOM524661
119,Trimurthi,7.05,5.6456546425247145e-06,BOM536565
120,Beryl Drugs,5.39,4.316323194781306e-06,BOM524606
121,Unjha Formula,4.6,3.6836895539877566e-06,BOM531762
